,uf,natureza_juridica,quantidade_contemplados,valor_contemplados,total_quantidade_uf,total_valor_uf,perc_quantidade_contemplados_na_uf,perc_valor_contemplados_na_uf,perc_quantidade_contemplados,perc_valor_contemplados
0,AC,Microempresa-ME,26,3088031.04,121,9907022.56,0.21487603305785125,0.3117012221682071,0.21487603305785125,0.3117012221682071
1,AC,MEI,11,728685.93,121,9907022.56,0.09090909090909091,0.07355246499004642,0.09090909090909091,0.07355246499004642
2,AC,Empresa de Pequeno Porte (EPP),4,486793.89,121,9907022.56,0.03305785123966942,0.04913624522926291,0.03305785123966942,0.04913624522926291
3,AC,Administração Pública,3,188267.95,121,9907022.56,0.024793388429752067,0.019003484534307953,0.024793388429752067,0.019003484534307953
4,AC,Entidades sem fins lucrativos,76,5151206.53,121,9907022.56,0.628099173553719,0.5199550620585243,0.628099173553719,0.5199550620585243
5,AC,Entidades Empresariais,1,264037.22,121,9907022.56,0.008264462809917356,0.026651521019651334,0.008264462809917356,0.026651521019651334
6,AL,Microempresa-ME,172,4688957.54,692,27201055.630000003,0.24855491329479767,0.17238145474135774,0.24855491329479767,0.17238145474135774
7,AL,MEI,210,3766483.99,692,27201055.630000003,0.30346820809248554,0.1384683021583159,0.30346820809248554,0.1384683021583159
8,AL,Empresa de Pequeno Porte (EPP),23,374956.8,692,27201055.630000003,0.033236994219653176,0.013784641489665597,0.033236994219653176,0.013784641489665597
9,AL,Administração Pública,4,156304.56,692,27201055.630000003,0.005780346820809248,0.005746268164225654,0.005780346820809248,0.005746268164225654
10,AL,Entidades sem fins lucrativos,258,17744219.07,692,27201055.630000003,0.37283236994219654,0.6523356781208862,0.37283236994219654,0.6523356781208862
11,AL,Entidades Empresariais,25,470133.67,692,27201055.630000003,0.036127167630057806,0.017283655325548847,0.036127167630057806,0.017283655325548847
12,AP,Microempresa-ME,29,3104490.0,124,18382459.71,0.23387096774193547,0.16888327508810844,0.23387096774193547,0.16888327508810844
13,AP,MEI,7,134780.67,124,18382459.71,0.056451612903225805,0.007332025861951421,0.056451612903225805,0.007332025861951421
14,AP,Empresa de Pequeno Porte (EPP),6,695172.63,124,18382459.71,0.04838709677419355,0.03781717142139734,0.04838709677419355,0.03781717142139734
15,AP,Administração Pública,0,0.0,124,18382459.71,0.0,0.0,0.0,0.0
16,AP,Entidades sem fins lucrativos,81,14436135.01,124,18382459.71,0.6532258064516129,0.7853211832226559,0.6532258064516129,0.7853211832226559
17,AP,Entidades Empresariais,1,11881.4,124,18382459.71,0.008064516129032258,0.0006463444058869095,0.008064516129032258,0.0006463444058869095
18,AM,Microempresa-ME,84,4743294.77,370,30990641.580000002,0.22702702702702704,0.15305571385979674,0.22702702702702704,0.15305571385979674
19,AM,MEI,71,2096882.54,370,30990641.580000002,0.1918918918918919,0.06766179830730694,0.1918918918918919,0.06766179830730694
20,AM,Empresa de Pequeno Porte (EPP),42,3154838.47,370,30990641.580000002,0.11351351351351352,0.10179971466082827,0.11351351351351352,0.10179971466082827
21,AM,Administração Pública,3,276211.94999999995,370,30990641.580000002,0.008108108108108109,0.00891275352551123,0.008108108108108109,0.00891275352551123
22,AM,Entidades sem fins lucrativos,163,18626101.78,370,30990641.580000002,0.44054054054054054,0.6010234325713498,0.44054054054054054,0.6010234325713498
23,AM,Entidades Empresariais,7,2093312.0699999998,370,30990641.580000002,0.01891891891891892,0.06754658707520697,0.01891891891891892,0.06754658707520697
24,BA,Microempresa-ME,532,18401987.37,1848,78141613.48,0.2878787878787879,0.23549535964867052,0.2878787878787879,0.23549535964867052
25,BA,MEI,306,8895946.63,1848,78141613.48,0.16558441558441558,0.11384390766741563,0.16558441558441558,0.11384390766741563
26,BA,Empresa de Pequeno Porte (EPP),106,3592321.84,1848,78141613.48,0.05735930735930736,0.045971943501261825,0.05735930735930736,0.045971943501261825
27,BA,Administração Pública,6,350023.22,1848,78141613.48,0.003246753246753247,0.004479344671960054,0.003246753246753247,0.004479344671960054
28,BA,Entidades sem fins lucrativos,858,42404598.04,1848,78141613.48,0.4642857142857143,0.5426634561475143,0.4642857142857143,0.5426634561475143
29,BA,Entidades Empresariais,40,4496736.38,1848,78141613.48,0.021645021645021644,0.05754598836317757,0.021645021645021644,0.05754598836317757
30,CE,Microempresa-ME,254,15866996.85,838,60953830.41,0.3031026252983294,0.26031172681474146,0.3031026252983294,0.26031172681474146
31,CE,MEI,130,1952742.89,838,60953830.41,0.15513126491646778,0.032036426207591305,0.15513126491646778,0.032036426207591305
32,CE,Empresa de Pequeno Porte (EPP),61,5491710.41,838,60953830.41,0.07279236276849642,0.09009623141089815,0.07279236276849642,0.09009623141089815
33,CE,Administração Pública,3,447785.26,838,60953830.41,0.003579952267303103,0.007346302225602823,0.003579952267303103,0.007346302225602823
34,CE,Entidades sem fins lucrativos,365,35223691.02,838,60953830.41,0.43556085918854415,0.5778749388360219,0.43556085918854415,0.5778749388360219
35,CE,Entidades Empresariais,25,1970903.98,838,60953830.41,0.029832935560859187,0.03233437450514441,0.029832935560859187,0.03233437450514441
36,DF,Microempresa-ME,19,14942206.43,98,31432000.71,0.19387755102040816,0.4753819703639221,0.19387755102040816,0.4753819703639221
37,DF,MEI,3,40486.37,98,31432000.71,0.030612244897959183,0.0012880621368502126,0.030612244897959183,0.0012880621368502126
38,DF,Empresa de Pequeno Porte (EPP),1,993.92,98,31432000.71,0.01020408163265306,3.16212769645232e-05,0.01020408163265306,3.16212769645232e-05
39,DF,Administração Pública,0,0.0,98,31432000.71,0.0,0.0,0.0,0.0
40,DF,Entidades sem fins lucrativos,74,15748313.99,98,31432000.71,0.7551020408163265,0.5010280489396184,0.7551020408163265,0.5010280489396184
41,DF,Entidades Empresariais,1,700000.0,98,31432000.71,0.01020408163265306,0.02227029728264472,0.01020408163265306,0.02227029728264472
42,ES,Microempresa-ME,282,8929636.4,957,41484269.32,0.2946708463949843,0.2152535538499874,0.2946708463949843,0.2152535538499874
43,ES,MEI,464,12497619.41,957,41484269.32,0.48484848484848486,0.3012616496531799,0.48484848484848486,0.3012616496531799
44,ES,Empresa de Pequeno Porte (EPP),21,890784.47,957,41484269.32,0.0219435736677116,0.021472825352875227,0.0219435736677116,0.021472825352875227
45,ES,Administração Pública,1,660.0,957,41484269.32,0.0010449320794148381,1.5909645049040484e-05,0.0010449320794148381,1.5909645049040484e-05
46,ES,Entidades sem fins lucrativos,187,19050278.32,957,41484269.32,0.19540229885057472,0.45921691841913825,0.19540229885057472,0.45921691841913825
47,ES,Entidades Empresariais,2,115290.72,957,41484269.32,0.0020898641588296763,0.0027791430797701705,0.0020898641588296763,0.0027791430797701705
48,GO,Microempresa-ME,311,11781819.11,793,42419699.5,0.3921815889029004,0.27774404931840685,0.3921815889029004,0.27774404931840685
49,GO,MEI,178,5272553.67,793,42419699.5,0.2244640605296343,0.12429493212227964,0.2244640605296343,0.12429493212227964
50,GO,Empresa de Pequeno Porte (EPP),38,1244188.97,793,42419699.5,0.04791929382093316,0.02933045223481604,0.04791929382093316,0.02933045223481604
51,GO,Administração Pública,0,0.0,793,42419699.5,0.0,0.0,0.0,0.0
52,GO,Entidades sem fins lucrativos,239,23351874.73,793,42419699.5,0.30138713745271123,0.5504959960878554,0.30138713745271123,0.5504959960878554
53,GO,Entidades Empresariais,27,769263.02,793,42419699.5,0.034047919293820936,0.01813457023664206,0.034047919293820936,0.01813457023664206
