uf,total_vinculos_a_rais_2024,populacao_ibge_2024
AC,180093,880631
AL,636259,3220104
AM,801349,4281209
AP,154926,802837
BA,2774157,14850513
CE,1871093,9233656
DF,1707305,2982818
ES,1101019,4102129
GO,1950312,7350483
MA,977685,7010960
MG,6094585,21322691
MS,831160,2901895
MT,1209870,3836399
PA,1445663,8664306
PB,811007,4145040
PE,1919501,9539029
PI,568830,3375646
PR,3717135,11824665
RJ,4744216,17219679
RN,709350,3446071
RO,413955,1746227
RR,148049,716793
RS,3287525,11229915
SC,2863776,8058441
SE,467807,2291077
SP,15994587,45973194
TO,408312,1577342
