,uf,quantidade_total_uf,valor_total_uf,quantidade_contemplados_interior,valor_transacao_interior,percentual_quantidade_interior,percentual_valor_interior,quantidade_contemplados_regiao_metropolitana,valor_transacao_regiao_metropolitana,percentual_quantidade_regiao_metropolitana,percentual_valor_regiao_metropolitana,quantidade_contemplados_capital,valor_transacao_capital,percentual_quantidade_capital,percentual_valor_capital
0,AC,452,17743059.009999998,223,6430700.89,0.49336283185840707,0.36243473497865575,2,33000.0,0.004424778761061947,0.0018598822210646531,227,11279358.12,0.5022123893805309,0.6357053828002797
1,AL,1269,35128148.39,294,7984500.0,0.23167848699763594,0.22729635252488753,263,6286000.0,0.20724980299448384,0.1789448145746688,712,20857648.39,0.5610717100078803,0.5937588329004437
2,AM,622,44222860.52,212,13689278.35,0.3408360128617363,0.3095520775687714,58,3545162.75,0.0932475884244373,0.08016583975603937,352,26988419.42,0.5659163987138264,0.6102820826751891
3,AP,236,17120298.32,77,2628000.0,0.326271186440678,0.1535019980890146,44,2676000.0,0.1864406779661017,0.15630568755182767,115,11816298.32,0.4872881355932203,0.6901923143591577
4,BA,1188,76394220.84,544,33595756.14,0.45791245791245794,0.4397682936038176,149,10127366.62,0.12542087542087543,0.13256718255181563,495,32671098.08,0.4166666666666667,0.4276645238443667
5,CE,913,78727917.79,238,20069851.98,0.2606790799561884,0.25492674699634016,258,21432100.1,0.28258488499452356,0.272229987806464,417,37225965.71,0.45673603504928806,0.4728432651971958
6,DF,76,21309243.88,0,0.0,0.0,0.0,1,100000.0,0.013157894736842105,0.004692799076454138,75,21209243.88,0.9868421052631579,0.9953072009235459
7,ES,495,29866850.17,144,8970961.36,0.2909090909090909,0.30036516435238136,121,8538408.52,0.24444444444444444,0.28588245735321877,230,12357480.290000001,0.46464646464646464,0.41375237829439987
8,GO,471,55985604.870000005,108,9970900.0,0.22929936305732485,0.17809756674332058,135,14999100.0,0.28662420382165604,0.26790993925721246,228,31015604.87,0.4840764331210191,0.5539924939994669
9,MA,790,63390851.19,206,8995159.98,0.2607594936708861,0.14189997154382747,171,9532086.64,0.21645569620253163,0.1503700685676185,413,44863604.57,0.5227848101265823,0.7077299598885541
10,MG,3284,110795695.1,1881,60731625.31,0.5727771010962242,0.5481406588512843,694,23674407.95,0.2113276492082826,0.21367624372618788,709,26389661.84,0.2158952496954933,0.23818309742252794
11,MS,520,23316653.57,214,8945744.83,0.4115384615384615,0.38366332471954295,3,204530.0,0.0057692307692307696,0.008771841953476345,303,14166378.74,0.5826923076923077,0.6075648333269807
12,MT,239,24571646.22,143,13957500.0,0.5983263598326359,0.5680327591823842,22,1763000.0,0.09205020920502092,0.07174936445914694,74,8851146.22,0.30962343096234307,0.36021787635846897
13,PA,573,73195925.77000001,265,14611956.12,0.462478184991274,0.1996279979559851,109,4066269.34,0.19022687609075042,0.055553219625601016,199,54517700.31,0.3472949389179756,0.7448187824184137
14,PB,1755,37177439.73,247,5436297.61,0.14074074074074075,0.14622571240733476,960,19375403.0,0.5470085470085471,0.5211602289106851,548,12365739.12,0.31225071225071227,0.33261405868198013
15,PE,2241,75277246.24,1043,36244898.12,0.465417224453369,0.48148544122407844,529,19167587.02,0.23605533244087462,0.25462657014431195,669,19864761.1,0.29852744310575635,0.26388798863160967
16,PI,629,31576333.770000003,197,9317547.49,0.31319554848966613,0.2950800925106892,88,3177000.0,0.13990461049284578,0.1006133271563781,344,19081786.28,0.5468998410174881,0.6043065803329326
17,PR,671,73147845.91,164,19868730.3,0.2444113263785395,0.27162427071941647,191,26530541.45,0.2846497764530551,0.3626975083127229,316,26748574.16,0.47093889716840537,0.3656782209678606
18,RJ,853,85881913.38,272,22213459.46,0.31887456037514655,0.2586511942475309,298,27154229.19,0.3493552168815944,0.31618099925011245,283,36514224.73,0.33177022274325907,0.4251678065023567
19,RN,946,27951151.25,405,12491390.42,0.4281183932346723,0.44690074867667573,151,3792996.02,0.15961945031712474,0.13570088709673453,390,11666764.81,0.41226215644820297,0.41739836422658977
20,RO,31,466832.92,8,252142.41999999998,0.25806451612903225,0.5401127666832065,0,0.0,0.0,0.0,23,214690.5,0.7419354838709677,0.45988723331679354
21,RR,480,14908203.2,23,600349.88,0.04791666666666667,0.040269767720901475,38,1742435.41,0.07916666666666666,0.11687762680884306,419,12565417.91,0.8729166666666667,0.8428526054702555
22,RS,620,70502784.62,233,30140617.16,0.3758064516129032,0.42750959869817406,124,14748710.96,0.2,0.2091933111506653,263,25613456.5,0.4241935483870968,0.3632970901511606
23,SC,1231,44341958.44,24,459515.4,0.01949634443541836,0.010362992889043897,786,30867103.81,0.6385052802599512,0.6961150318104894,421,13015339.23,0.3419983753046304,0.2935219753004667
24,SE,301,22540730.32,124,8179194.8,0.4119601328903654,0.36286290124072607,40,2089508.07,0.132890365448505,0.09269921783084445,137,12272027.45,0.45514950166112955,0.5444378809284295
25,SP,1211,290180006.82,149,31787804.96,0.12303881090008258,0.10954512445000432,530,135208028.59,0.43765483071841454,0.46594536292043776,532,123184173.27,0.4393063583815029,0.42450951262955794
26,TO,485,21172903.86,151,5531950.0,0.311340206185567,0.2612749784620238,154,5582000.0,0.31752577319587627,0.2636388488281739,180,10058953.86,0.3711340206185567,0.4750861727098023
