,uf,valor_executado_rs,qtde_contemplados,valor_urbano,valor_rural,qtde_urbano,qtde_rural,min_valor,mediana_valor,max_valor,media_valor,sum_populacao,valor_executado_perc,perc_contemplados_populacao,valor_executado_percapita,perc_valor_urbano,perc_valor_rural,perc_qtde_urbano,perc_qtde_rural,Acima de 200 mil,Até 2 mil,De 10 a 50 mil,De 2 a 10 mil,De 50 a 200 mil,qtd_tipo_documento_CNPJ,qtd_tipo_documento_CPF,valor_tipo_documento_CNPJ,valor_tipo_documento_CPF,min_valor_tipo_documento_CNPJ,min_valor_tipo_documento_CPF,mediana_valor_tipo_documento_CNPJ,mediana_valor_tipo_documento_CPF,max_valor_tipo_documento_CNPJ,max_valor_tipo_documento_CPF,media_valor_tipo_documento_CNPJ,media_valor_tipo_documento_CPF,qtd_sexo_Feminino,qtd_sexo_Masculino,qtd_sexo_Não informado,valor_sexo_Feminino,valor_sexo_Masculino,valor_sexo_Não informado,total_qtd_cpf,total_valor_cpf,percentual_qtd_sexo_Feminino,percentual_qtd_sexo_Masculino,percentual_qtd_sexo_Não informado,percentual_valor_sexo_Feminino,percentual_valor_sexo_Masculino,percentual_valor_sexo_Não informado
0,AC,17743059.01,452,15461299.01,2281760.0,357,95,429.37,30000.0,2034002.65,42045.163530805694,880631,0.012232253546716629,0.0005132683269155867,20.14811993899829,0.8713998528261672,0.12860014717383278,0.7898230088495575,0.21017699115044247,10,13,368,25,36,62,390,8445940.91,9297118.1,18000.0,429.37,59384.0,20000.0,2034002.65,113000.0,143151.54084745763,25611.8955922865,149,241,0,3461777.28,5835340.82,0.0,390,9297118.1,0.382051282051282,0.617948717948718,0.0,0.37234950043282766,0.6276504995671723,0.0
1,AL,35128148.39,1269,32487648.39,2640500.0,1158,111,3000.0,15000.0,2634948.39,28629.297791361045,3220104,0.024217719024154084,0.00039408665061749557,10.909010513325036,0.9248323603429187,0.07516763965708129,0.9125295508274232,0.08747044917257683,12,0,704,455,98,270,999,17971748.39,17156400.0,4000.0,3000.0,36000.0,15000.0,2634948.39,167500.0,71600.59119521912,17578.27868852459,420,579,0,6881400.0,10275000.0,0.0,999,17156400.0,0.42042042042042044,0.5795795795795796,0.0,0.4010981324753445,0.5989018675246556,0.0
2,AM,44222860.52,622,41203384.68,2429475.84,570,46,3054.48,50000.0,4055691.37,73338.07714759537,4281209,0.03048771027232946,0.00014528606288550735,10.329526196922412,0.9317213811025538,0.054937102924431075,0.9163987138263665,0.07395498392282958,17,0,376,33,196,107,515,17143336.95,27079523.57,20000.0,3054.48,100000.0,50000.0,4055691.37,280000.0,168071.93088235293,54050.945249501,240,275,0,12332115.99,14747407.58,0.0,515,27079523.57,0.46601941747572817,0.5339805825242718,0.0,0.45540372813878127,0.5445962718612187,0.0
3,AP,17120298.32,236,16152298.32,968000.0,211,25,10000.0,20000.0,1164000.0,72852.33327659575,802837,0.011802915705101221,0.00029395755302757595,21.324750005293726,0.9434589291666035,0.05654107083339655,0.8940677966101694,0.1059322033898305,20,0,143,50,23,63,173,13290298.32,3830000.0,10000.0,10000.0,84000.0,20000.0,1164000.0,170000.0,210957.1161904762,22267.441860465115,90,83,0,1880000.0,1950000.0,0.0,173,3830000.0,0.5202312138728323,0.4797687861271676,0.0,0.4908616187989556,0.5091383812010444,0.0
4,BA,76394220.84,1188,68126863.11,7781357.73,1040,142,3438.45,40000.0,2886960.0,71530.1693258427,14850513,0.052666988160952034,7.999723645910414e-05,5.1442142665374595,0.8917803252772857,0.10185793695438389,0.8754208754208754,0.11952861952861953,62,0,647,199,280,405,783,41962275.54,34431945.3,6000.0,3438.45,80000.0,30000.0,2886960.0,400000.0,138033.80111842105,45067.99123036649,421,362,0,17476475.13,16955470.17,0.0,783,34431945.3,0.5376756066411239,0.4623243933588761,0.0,0.5075657206623176,0.49243427933768247,0.0
5,CE,78727917.79,913,73067326.16,5660591.63,813,100,2769.16,49987.275,3228537.25,89463.54294318182,9233656,0.05427586365291261,9.887741107097774e-05,8.52619133634608,0.9280993097632894,0.07190069023671049,0.8904709748083242,0.10952902519167579,56,0,486,78,293,145,768,39759305.51,38968612.28,40608.0,2769.16,200000.0,30000.0,3228537.25,440000.0,288110.9094927536,52518.34539083558,358,409,1,17694919.24,21258693.04,15000.0,768,38968612.28,0.4661458333333333,0.5325520833333334,0.0013020833333333333,0.4540813286564383,0.545533746166031,0.00038492517753059693
6,DF,21309243.88,76,21002240.88,307003.0,73,3,12575.09,100000.0,2000000.0,287962.75513513514,2982818,0.01469081931599683,2.5479261557359516e-05,7.14399734747477,0.9855929660513135,0.014407033948686499,0.9605263157894737,0.039473684210526314,17,0,11,0,48,32,44,17528501.69,3780742.19,51840.0,12575.09,643150.0,100000.0,2000000.0,219196.2,565435.5383870968,87924.23697674419,23,20,1,1914645.55,1759096.64,107000.0,44,3780742.19,0.5227272727272727,0.45454545454545453,0.022727272727272728,0.5064205528385949,0.4652781257216589,0.0283013214397462
7,ES,29866850.17,495,27332721.62,2534128.55,457,38,5000.0,30000.0,2917394.64,60828.61541751528,4102129,0.020590524086930635,0.00012066904770669084,7.2808169050753895,0.9151524671809742,0.08484753281902574,0.9232323232323232,0.07676767676767676,16,0,189,167,123,404,91,26851094.64,3015755.53,5000.0,8325.71,30000.0,30000.0,2917394.64,109825.71,67127.7366,33140.170659340656,35,56,0,1081484.23,1934271.3,0.0,91,3015755.53,0.38461538461538464,0.6153846153846154,0.0,0.358611372586955,0.641388627413045,0.0
8,GO,55985604.87,471,52344104.87,3591500.0,446,24,10000.0,80000.0,2000000.0,120919.23298056154,7350483,0.03859707130265207,6.407742185105388e-05,7.6165885792811165,0.9349564944693255,0.06415041881461413,0.9469214437367304,0.050955414012738856,63,0,180,12,216,148,323,24311304.87,31674300.0,10000.0,10000.0,100000.0,80000.0,2000000.0,735000.0,167664.1715172414,99604.71698113208,188,135,0,20731250.0,10943050.0,0.0,323,31674300.0,0.5820433436532507,0.4179566563467492,0.0,0.6545132804829151,0.3454867195170848,0.0
9,MA,63390851.19,790,59878796.61,2463504.58,713,67,2651.91,30000.0,7792386.6,93773.44850591716,7010960,0.04370232685701153,0.00011268071704873512,9.041679197998562,0.9445968225056105,0.03886214704100111,0.9025316455696203,0.08481012658227848,61,0,491,81,157,374,416,49272966.83,14117884.36,4000.0,2651.91,57000.0,25000.0,7792386.6,330000.0,176605.6158781362,35561.42156171284,191,225,0,6303285.76,7814598.6,0.0,416,14117884.36,0.45913461538461536,0.5408653846153846,0.0,0.44647523660549376,0.5535247633945062,0.0
