,uf,valor_total,valor_estado,valor_municipio,valor_urbano_estado,valor_rural_estado,valor_urbano_municipio,valor_rural_municipio,percentual_valor_estado,percentual_valor_municipio,percentual_urbano_estado,percentual_rural_estado,percentual_urbano_municipio,percentual_rural_municipio
0,AC,24329784,17743060,6586725,15461300,2281760,5952593,634132,72.93,27.07,87.14,12.86,90.37,9.63
1,AL,60294995,35128149,25166846,32487649,2640500,22318108,2847802,58.26,41.74,92.48,7.52,88.68,11.32
2,AM,74122349,44222861,29899489,41203385,2429476,28036650,1707852,59.66,40.34,93.17,5.49,93.77,5.71
3,AP,23633687,17120299,6513388,16152299,968000,6074779,432310,72.44,27.56,94.35,5.65,93.27,6.64
4,BA,176909115,76394221,100514894,68126864,7781358,85888865,14489558,43.18,56.82,89.18,10.19,85.45,14.42
5,CE,136622937,78727918,57895019,73067327,5660592,49410284,8481036,57.62,42.38,92.81,7.19,85.34,14.65
6,DF,41170701,21309244,19861457,21002241,307003,7349840,306556,51.76,48.24,98.56,1.44,37.01,1.54
7,ES,55730594,29866851,25863744,27332722,2534129,23837389,2011355,53.59,46.41,91.52,8.48,92.17,7.78
8,GO,105504441,55985605,49518836,52344105,3591500,47534591,1984246,53.06,46.94,93.5,6.42,95.99,4.01
9,MA,114921031,63390852,51530179,59878797,2463505,46226330,4870539,55.16,44.84,94.46,3.89,89.71,9.45
10,MG,268555727,110795696,157760032,105074279,5708917,150051640,7614235,41.26,58.74,94.84,5.15,95.11,4.83
11,MS,42351940,23316654,19035287,21987984,1328670,18082851,881492,55.05,44.95,94.3,5.7,95.0,4.63
12,MT,48393907,24571647,23822261,22813647,1658000,22139143,1683118,50.77,49.23,92.85,6.75,92.93,7.07
13,PA,124061837,73195926,50865911,70420893,2524156,43680826,6541440,59.0,41.0,96.21,3.45,85.87,12.86
14,PB,70229087,37177440,33051647,32658354,4422215,29878047,3158894,52.94,47.06,87.84,11.89,90.4,9.56
15,PE,141508870,75277247,66231623,68482353,6683249,59716960,6449664,53.2,46.8,90.97,8.88,90.16,9.74
16,PI,57291133,31576334,25714799,30064334,1512000,23356445,2358354,55.12,44.88,95.21,4.79,90.83,9.17
17,PR,153275263,73147846,80127417,70049314,3098533,76275938,3838879,47.72,52.28,95.76,4.24,95.19,4.79
18,RJ,186074275,85881914,100192362,82086921,2815305,97822413,2085369,46.15,53.85,95.58,3.28,97.63,2.08
19,RN,54056011,27951152,26104859,24829989,2600975,23383872,2173919,51.71,48.29,88.83,9.31,89.58,8.33
20,RO,8829527,466833,8362694,406833,60000,7381471,981223,5.29,94.71,87.15,12.85,88.27,11.73
21,RR,16461024,14908204,1552821,13843089,1065115,1107011,440722,90.57,9.43,92.86,7.14,71.29,28.38
22,RS,151151438,70502785,80648654,68120272,2142514,75825552,4731808,46.64,53.36,96.62,3.04,94.02,5.87
23,SC,82122938,27961959,54160979,25791959,1965000,49704723,4089353,34.05,65.95,92.24,7.03,91.77,7.55
24,SE,40435721,22540731,17894991,20270960,2259771,15408782,2485209,55.74,44.26,89.93,10.03,86.11,13.89
25,SP,555842430,290180007,265662423,282572896,7607111,258504559,6677503,52.21,47.79,97.38,2.62,97.31,2.51
26,TO,32114846,21172904,10941942,17821454,3111450,10021004,879294,65.93,34.07,84.17,14.7,91.58,8.04
