,uf,tipo_ente_norm,valor_total,valor_urbano,valor_rural,percentual_valor_urbano,percentual_valor_rural
1,AC,MUNICIPIO,6586725,5952593,634132,90.37,9.63
3,AL,MUNICIPIO,25166846,22318108,2847802,88.68,11.32
5,AM,MUNICIPIO,29899489,28036650,1707852,93.77,5.71
7,AP,MUNICIPIO,6513388,6074779,432310,93.27,6.64
9,BA,MUNICIPIO,100514894,85888865,14489558,85.45,14.42
11,CE,MUNICIPIO,57895019,49410284,8481036,85.34,14.65
13,DF,MUNICIPIO,19861457,7349840,306556,37.01,1.54
15,ES,MUNICIPIO,25863744,23837389,2011355,92.17,7.78
17,GO,MUNICIPIO,49518836,47534591,1984246,95.99,4.01
19,MA,MUNICIPIO,51530179,46226330,4870539,89.71,9.45
21,MG,MUNICIPIO,157760032,150051640,7614235,95.11,4.83
23,MS,MUNICIPIO,19035287,18082851,881492,95.0,4.63
25,MT,MUNICIPIO,23822261,22139143,1683118,92.93,7.07
27,PA,MUNICIPIO,50865911,43680826,6541440,85.87,12.86
29,PB,MUNICIPIO,33051647,29878047,3158894,90.4,9.56
31,PE,MUNICIPIO,66231623,59716960,6449664,90.16,9.74
33,PI,MUNICIPIO,25714799,23356445,2358354,90.83,9.17
35,PR,MUNICIPIO,80127417,76275938,3838879,95.19,4.79
37,RJ,MUNICIPIO,100192362,97822413,2085369,97.63,2.08
39,RN,MUNICIPIO,26104859,23383872,2173919,89.58,8.33
41,RO,MUNICIPIO,8362694,7381471,981223,88.27,11.73
43,RR,MUNICIPIO,1552821,1107011,440722,71.29,28.38
45,RS,MUNICIPIO,80648654,75825552,4731808,94.02,5.87
47,SC,MUNICIPIO,54160979,49704723,4089353,91.77,7.55
49,SE,MUNICIPIO,17894991,15408782,2485209,86.11,13.89
51,SP,MUNICIPIO,265662423,258504559,6677503,97.31,2.51
53,TO,MUNICIPIO,10941942,10021004,879294,91.58,8.04
