,uf,tipo_ente_norm,valor_total,valor_urbano,valor_rural,percentual_valor_urbano,percentual_valor_rural
0,AC,ESTADO,17743060,15461300,2281760,87.14,12.86
2,AL,ESTADO,35128149,32487649,2640500,92.48,7.52
4,AM,ESTADO,44222861,41203385,2429476,93.17,5.49
6,AP,ESTADO,17120299,16152299,968000,94.35,5.65
8,BA,ESTADO,76394221,68126864,7781358,89.18,10.19
10,CE,ESTADO,78727918,73067327,5660592,92.81,7.19
12,DF,ESTADO,21309244,21002241,307003,98.56,1.44
14,ES,ESTADO,29866851,27332722,2534129,91.52,8.48
16,GO,ESTADO,55985605,52344105,3591500,93.5,6.42
18,MA,ESTADO,63390852,59878797,2463505,94.46,3.89
20,MG,ESTADO,110795696,105074279,5708917,94.84,5.15
22,MS,ESTADO,23316654,21987984,1328670,94.3,5.7
24,MT,ESTADO,24571647,22813647,1658000,92.85,6.75
26,PA,ESTADO,73195926,70420893,2524156,96.21,3.45
28,PB,ESTADO,37177440,32658354,4422215,87.84,11.89
30,PE,ESTADO,75277247,68482353,6683249,90.97,8.88
32,PI,ESTADO,31576334,30064334,1512000,95.21,4.79
34,PR,ESTADO,73147846,70049314,3098533,95.76,4.24
36,RJ,ESTADO,85881914,82086921,2815305,95.58,3.28
38,RN,ESTADO,27951152,24829989,2600975,88.83,9.31
40,RO,ESTADO,466833,406833,60000,87.15,12.85
42,RR,ESTADO,14908204,13843089,1065115,92.86,7.14
44,RS,ESTADO,70502785,68120272,2142514,96.62,3.04
46,SC,ESTADO,27961959,25791959,1965000,92.24,7.03
48,SE,ESTADO,22540731,20270960,2259771,89.93,10.03
50,SP,ESTADO,290180007,282572896,7607111,97.38,2.62
52,TO,ESTADO,21172904,17821454,3111450,84.17,14.7
