,uf,nome_ente,valor_executado_rs,valor_executado_perc
0,AC,Acre,17743059.01,0.012232253546716629
1,AL,Alagoas,35128148.39,0.024217719024154084
2,AM,Amazonas,44222860.52,0.03048771027232946
3,AP,Amapa,17120298.32,0.011802915705101221
4,BA,Bahia,76394220.84,0.052666988160952034
5,CE,Ceara,78727917.79,0.05427586365291261
6,DF,Distrito_Federal,21309243.88,0.01469081931599683
7,ES,Espirito_Santo,29866850.17,0.020590524086930635
8,GO,Goias,55985604.87,0.03859707130265207
9,MA,Maranhao,63390851.19,0.04370232685701153
10,MG,Minas_Gerais,110795695.1,0.07638373031302391
11,MS,Mato_Grosso_do_Sul,23316653.57,0.016074748901440724
12,MT,Mato_Grosso,24571646.22,0.0169399541789193
13,PA,Para,73195925.77,0.050462049531632004
14,PB,Paraiba,37177439.73,0.02563052226444329
15,PE,Pernambuco,75277246.24,0.051896933994714865
16,PI,Piaui,31576333.77,0.0217690602580254
17,PR,Parana,73147845.91,0.05042890276490597
18,RJ,Rio_de_Janeiro,85881913.38,0.05920790428241467
19,RN,Rio_Grande_do_Norte,27951151.25,0.01926982088150229
20,RO,Rondonia,466832.92,0.0003218395789686369
21,RR,Roraima,14908203.2,0.010277873807757356
22,RS,Rio_Grande_do_Sul,70502784.62,0.04860536938615488
23,SC,Santa_Catarina,27961958.44,0.019277271473203142
24,SE,Sergipe,22540730.32,0.015539819162355535
25,SP,Sao_Paulo,290180006.82,0.2000531822393009
26,TO,Tocantins,21172903.86,0.014596825056480222
