,uf,valor_executado_uf,perc_valor_executado_uf,valor_executado_estado,perc_valor_executado_estado,valor_executado_municipio,perc_valor_executado_municipio
0,AC,2619104.73,0.017134129982309735,1877948.75,0.7170193419489568,741155.98,0.2829806580510433
1,AL,2044374.8,0.013374258445846292,1523500.0,0.7452156033228349,520874.8,0.25478439667716507
2,AM,17170356.45,0.11232812338011788,10312204.86,0.6005818743500808,6858151.59,0.3994181256499192
3,AP,6611308.84,0.043251048238057054,4722000.0,0.7142307392192557,1889308.8399999999,0.28576926078074427
4,BA,15692160.39,0.10265779475932306,7926654.94,0.5051347133216499,7765505.45,0.4948652866783501
5,CE,6831234.41,0.04468979685305175,3213533.01,0.47041761666029547,3617701.4,0.5295823833397044
6,DF,436015.04,0.0028524015416527384,72575.09,0.16645088664831378,363439.95,0.8335491133516862
7,ES,6548001.86,0.04283689525987223,3122954.26,0.4769324027039906,3425047.6,0.5230675972960093
8,GO,1101976.11,0.007209105344229611,695000.0,0.630685178828423,406976.11,0.3693148211715769
9,MA,8220201.79,0.05377639326040817,4923674.67,0.5989724821584945,3296527.12,0.4010275178415055
10,MG,6641078.25,0.04344579911403164,3181407.3,0.4790498139364643,3459670.95,0.5209501860635357
11,MS,606547.17,0.003968019274732141,510670.0,0.841929573259735,95877.17,0.1580704267402649
12,MT,353491.3,0.0023125329096006196,73000.0,0.20651144738215624,280491.3,0.7934885526178438
13,PA,34108864.24,0.22313949753247034,27659392.300000004,0.810915077833738,6449471.9399999995,0.18908492216626205
14,PB,2919610.85,0.019100034919818504,2000272.0,0.6851159633140834,919338.85,0.3148840366859165
15,PE,11881007.72,0.07772531134915917,6576564.89,0.5535359495583257,5304442.83,0.44646405044167414
16,PI,1792353.62,0.011725541001693122,1031000.0,0.5752213115177572,761353.62,0.42477868848224265
17,PR,2441289.3,0.015970865048463314,1261428.09,0.516705697272339,1179861.21,0.48329430272766116
18,RJ,6744492.96,0.044122336047788716,2135796.0,0.3166725820112651,4608696.96,0.6833274179887349
19,RN,3906332.78,0.025555149757863,2411434.52,0.6173141551959637,1494898.26,0.3826858448040364
20,RO,360630.24,0.002359235710177789,2892.5,0.008020680683904933,357737.74,0.9919793193160951
21,RR,257671.54,0.0016856819845848328,181649.96,0.7049671065729649,76021.58,0.29503289342703504
22,RS,2713890.94,0.017754219444204033,1300000.0,0.4790170381717697,1413890.94,0.5209829618282302
23,SC,824338.14,0.00539280337985394,536180.0,0.6504369675288832,288158.14,0.34956303247111675
24,SE,1131081.01,0.0073995090092721025,369913.0,0.3270437720460005,761168.01,0.6729562279539996
25,SP,8679278.55,0.05677966410620502,3800817.24,0.43791856870407736,4878461.31,0.5620814312959226
26,TO,222234.31,0.0014538523452129828,165000.0,0.7424596139093014,57234.31,0.25754038609069857
