,cod_tipo_nome,valor_transacao,perc_valor_transacao,quantidade_contemplados,perc_quantidade_contemplados,qtd_tipo_documento_CNPJ,qtd_tipo_documento_CPF,valor_tipo_documento_CNPJ,valor_tipo_documento_CPF,min_valor_tipo_documento_CNPJ,min_valor_tipo_documento_CPF,mediana_valor_tipo_documento_CNPJ,mediana_valor_tipo_documento_CPF,max_valor_tipo_documento_CNPJ,max_valor_tipo_documento_CPF,media_valor_tipo_documento_CNPJ,media_valor_tipo_documento_CPF
0,Não especial,1311000910,0.9395,139873,0.9657,24330,115543,608065244,702935666,375,375,10500,3000,15333334,640000,28601,6290
1,Favela e Comunidade Urbana,55119044,0.0395,3281,0.0227,517,2764,24289029,30830016,431,400,23798,5701,1344476,125247,52574,11294
2,Setor com baixo patamar domiciliar,9604835,0.0069,565,0.0039,206,359,6417924,3186911,406,378,14709,4508,400000,100000,31307,8902
3,Agrupamento quilombola,2906038,0.0021,391,0.0027,47,344,1279108,1626931,1034,500,10789,3000,280000,58000,27807,4786
4,Agrupamento indígena,1109793,0.0008,143,0.001,8,135,137890,971903,4000,500,13000,3000,42000,100000,17237,7308
5,Quartel e base militar,130603,0.0001,22,0.0002,0,22,0,130603,0,1089,0,3421,0,25000,0,5937
6,Não informado,15054200,0.0108,479,0.0033,112,367,13187970,1866231,380,500,15000,2815,2017102,55066,164850,5302
7,Agrovila do PA,282888,0.0002,56,0.0004,2,54,26000,256888,6000,500,13000,3125,20000,24674,13000,4758
8,Unidade prisional,66969,0.0,9,0.0001,1,8,6870,60099,6870,800,6870,4679,6870,26880,6870,7513
9,Convento / hospital / ILPI / IACA,152685,0.0001,13,0.0001,3,10,84000,68685,4000,2000,20000,5705,60000,15000,28000,6869
10,Alojamento / acampamento,53308,0.0,4,0.0,0,4,0,53308,0,1000,0,6169,0,39970,0,13327
