,cod_tipo_nome,valor_transacao,perc_valor_transacao,quantidade_contemplados,perc_quantidade_contemplados,qtd_tipo_documento_CNPJ,qtd_tipo_documento_CPF,valor_tipo_documento_CNPJ,valor_tipo_documento_CPF,min_valor_tipo_documento_CNPJ,min_valor_tipo_documento_CPF,mediana_valor_tipo_documento_CNPJ,mediana_valor_tipo_documento_CPF,max_valor_tipo_documento_CNPJ,max_valor_tipo_documento_CPF,media_valor_tipo_documento_CNPJ,media_valor_tipo_documento_CPF
0,Não especial,1342699100,0.9257,20398,0.9251,6588,13810,870937178,471761922,966,430,100000,23110,19987818,735000,295133,35533
1,Favela e Comunidade Urbana,83027141,0.0572,1274,0.0578,347,927,52269943,30757199,4500,1289,72000,25000,22109765,400000,218703,33432
2,Setor com baixo patamar domiciliar,12247531,0.0084,108,0.0049,54,54,8809049,3438483,7360,2000,100000,23110,1031144,650000,176181,63676
3,Agrupamento quilombola,4463173,0.0031,90,0.0041,25,65,2230000,2233173,25000,4521,94000,30000,329600,150000,106191,34357
4,Agrupamento indígena,3969151,0.0027,111,0.005,14,97,1253292,2715859,10000,4521,77500,14042,250000,294095,89521,28588
5,Quartel e base militar,350000,0.0002,2,0.0001,1,1,300000,50000,300000,50000,300000,50000,300000,50000,300000,50000
6,Não informado,3331402,0.0023,55,0.0025,23,32,1978200,1353202,4650,8159,50000,25847,330000,330000,116365,42288
7,Agrovila do PA,257631,0.0002,7,0.0003,2,5,40000,217631,20000,5000,20000,20000,20000,127223,20000,43527
8,Unidade prisional,20000,0.0,1,0.0,0,1,0,20000,0,20000,0,20000,0,20000,0,20000
9,Convento / hospital / ILPI / IACA,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
10,Alojamento / acampamento,149200,0.0001,4,0.0002,0,4,0,149200,0,6700,0,18750,0,105000,0,37300
