,cod_tipo_nome,valor_transacao,perc_valor_transacao,quantidade_contemplados,perc_quantidade_contemplados,qtd_tipo_documento_CNPJ,qtd_tipo_documento_CPF,valor_tipo_documento_CNPJ,valor_tipo_documento_CPF,min_valor_tipo_documento_CNPJ,min_valor_tipo_documento_CPF,mediana_valor_tipo_documento_CNPJ,mediana_valor_tipo_documento_CPF,max_valor_tipo_documento_CNPJ,max_valor_tipo_documento_CPF,media_valor_tipo_documento_CNPJ,media_valor_tipo_documento_CPF
0,Não especial,2653700009,0.9324,160271,0.9604,30918,129353,1479002422,1174697588,375,375,12941,3572,19987818,735000,61086,9395
1,Favela e Comunidade Urbana,138146185,0.0485,4555,0.0273,864,3691,76558971,61587214,431,400,36000,10000,22109765,400000,109214,16874
2,Setor com baixo patamar domiciliar,21852365,0.0077,673,0.004,260,413,15226973,6625393,406,378,20000,5000,1031144,650000,59714,16082
3,Agrupamento quilombola,7369210,0.0026,481,0.0029,72,409,3509108,3860103,1034,500,29307,3200,329600,150000,52375,9532
4,Agrupamento indígena,5078944,0.0018,254,0.0015,22,232,1391182,3687762,4000,500,25883,5500,250000,294095,63236,16175
5,Quartel e base militar,480603,0.0002,24,0.0001,1,23,300000,180603,300000,1089,300000,3842,300000,50000,300000,7853
6,Não informado,18385602,0.0065,534,0.0032,135,399,15166170,3219433,380,500,20000,3000,2017102,330000,156353,8384
7,Agrovila do PA,540519,0.0002,63,0.0004,4,59,66000,474519,6000,500,20000,3334,20000,127223,16500,8043
8,Unidade prisional,86969,0.0,10,0.0001,1,9,6870,80099,6870,800,6870,6000,6870,26880,6870,8900
9,Convento / hospital / ILPI / IACA,152685,0.0001,13,0.0001,3,10,84000,68685,4000,2000,20000,5705,60000,15000,28000,6869
10,Alojamento / acampamento,202508,0.0001,8,0.0,0,8,0,202508,0,1000,0,8500,0,105000,0,25314
