,uf,total_contemplados_uf,valor_total_uf,qtd_ate_2_mil,perc_qtd_ate_2_mil,valor_ate_2_mil,perc_valor_ate_2_mil,qtd_de_2_a_10_mil,perc_qtd_de_2_a_10_mil,valor_de_2_a_10_mil,perc_valor_de_2_a_10_mil,qtd_de_10_a_50_mil,perc_qtd_de_10_a_50_mil,valor_de_10_a_50_mil,perc_valor_de_10_a_50_mil,qtd_de_50_a_200_mil,perc_qtd_de_50_a_200_mil,valor_de_50_a_200_mil,perc_valor_de_50_a_200_mil,qtd_acima_de_200_mil,perc_qtd_acima_de_200_mil,valor_acima_de_200_mil,perc_valor_acima_de_200_mil
0,AC,452,17743059.01,13,0.028761061946902654,16003.85,0.0009019780631389558,25,0.05530973451327434,158006.44999999998,0.008905254156622452,368,0.8141592920353983,9145149.8,0.5154212582422111,36,0.07964601769911504,3264137.4,0.18396700355673334,10,0.022123893805309734,5159761.51,0.2908045059812941
1,AL,1269,35128148.39,0,0.0,0.0,0.0,455,0.35855003940110325,3308700.0,0.09418942220540989,704,0.5547675334909378,16799000.0,0.47822048043904886,98,0.07722616233254531,8734000.0,0.2486325183733944,12,0.009456264775413711,6286448.390000001,0.17895757898214687
2,AM,622,44222860.52,0,0.0,0.0,0.0,33,0.05305466237942122,150107.92,0.003394351207383181,376,0.6045016077170418,14015540.53,0.3169297590702303,196,0.31511254019292606,20524698.54,0.4641196498520851,17,0.027331189710610933,9532513.530000001,0.21555623987030137
3,AP,236,17120298.32,0,0.0,0.0,0.0,50,0.211864406779661,500000.0,0.029205098570969295,143,0.6059322033898306,3410000.0,0.19917877225401057,23,0.09745762711864407,2262000.0,0.1321238659350651,20,0.0847457627118644,10948298.32,0.639492263239955
4,BA,1188,76394220.84,0,0.0,0.0,0.0,199,0.1675084175084175,883183.76,0.011560871362897194,647,0.5446127946127947,24522451.78,0.32099878119523995,280,0.2356902356902357,29927505.98,0.3917509158537024,62,0.05218855218855219,21061079.32,0.27568943158816045
5,CE,913,78727917.79,0,0.0,0.0,0.0,78,0.08543263964950712,438847.82,0.005574233795571592,486,0.5323110624315444,16376475.31,0.20801357091245382,293,0.3209200438116101,33517373.94,0.4257368273019075,56,0.06133625410733844,28395220.72,0.36067536799006705
6,DF,76,21309243.88,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,0.14473684210526316,312575.09,0.014668520936745694,48,0.631578947368421,4480003.53,0.21023756428095283,17,0.2236842105263158,16516665.26,0.7750939147823015
7,ES,495,29866850.17,0,0.0,0.0,0.0,167,0.3373737373737374,915779.97,0.030662087390784267,189,0.38181818181818183,6396789.91,0.21417691767260102,123,0.24848484848484848,12346885.65,0.41339764922388533,16,0.03232323232323232,10207394.64,0.34176334571272937
8,GO,471,55985604.87,0,0.0,0.0,0.0,12,0.025477707006369428,120000.0,0.0021434081185448127,180,0.3821656050955414,7387900.0,0.13196070699164353,216,0.4585987261146497,24957200.0,0.44577887580122166,63,0.1337579617834395,23520504.87,0.42011700908859007
9,MA,790,63390851.19,0,0.0,0.0,0.0,81,0.10253164556962026,681008.49,0.010743009081213128,491,0.6215189873417721,13594167.87,0.21444999735457881,157,0.19873417721518988,16901053.74,0.2666166082758984,61,0.07721518987341772,32214621.09,0.5081903852883096
10,MG,3284,110795695.1,8,0.00243605359317905,11328.44,0.0001022462108277346,247,0.07521315468940316,1861408.34,0.01680036700270677,2452,0.7466504263093788,55421787.9,0.5002160765359918,568,0.17295980511571254,48411981.9,0.4369482212851788,9,0.0027405602923264312,5089188.52,0.04593308896529501
11,MS,520,23316653.57,1,0.0019230769230769232,2000.0,8.577560214615309e-05,239,0.4596153846153846,1573456.1,0.06748207221401883,195,0.375,4966702.61,0.21301095352681007,66,0.12692307692307692,6635388.79,0.28457723446804206,19,0.03653846153846154,10139106.07,0.4348439641889829
12,MT,239,24571646.22,0,0.0,0.0,0.0,0,0.0,0.0,0.0,59,0.24686192468619247,2245000.0,0.0913654697735592,168,0.702928870292887,14600479.56,0.5942003001864806,12,0.0502092050209205,7726166.66,0.3144342300399603
13,PA,573,73195925.77,0,0.0,0.0,0.0,0,0.0,0.0,0.0,478,0.8342059336823735,12521358.01,0.17106632477530587,88,0.15357766143106458,8324284.57,0.11372606442818957,7,0.012216404886561954,52350283.19,0.7152076107965046
14,PB,1755,37177439.73,45,0.02564102564102564,84100.0,0.0022621245736869897,873,0.49743589743589745,5890727.61,0.15844898553480893,733,0.41766381766381766,19275674.5,0.5184777284285574,99,0.05641025641025641,8361879.0,0.22491809712362892,5,0.002849002849002849,3565058.62,0.09589306433931782
15,PE,2241,75277246.24,4,0.00178491744756805,6525.98,8.669259737788197e-05,681,0.3038821954484605,5610271.6,0.07452811945475864,1143,0.5100401606425703,31076909.7,0.4128327117721622,397,0.17715305667112896,30846321.9,0.40976953117619785,16,0.0071396697902722,7737217.06,0.10278294499950348
