,uf,total_contemplados_uf,valor_total_uf,qtd_ate_2_mil,perc_qtd_ate_2_mil,valor_ate_2_mil,perc_valor_ate_2_mil,qtd_de_2_a_10_mil,perc_qtd_de_2_a_10_mil,valor_de_2_a_10_mil,perc_valor_de_2_a_10_mil,qtd_de_10_a_50_mil,perc_qtd_de_10_a_50_mil,valor_de_10_a_50_mil,perc_valor_de_10_a_50_mil,qtd_de_50_a_200_mil,perc_qtd_de_50_a_200_mil,valor_de_50_a_200_mil,perc_valor_de_50_a_200_mil,qtd_acima_de_200_mil,perc_qtd_acima_de_200_mil,valor_acima_de_200_mil,perc_valor_acima_de_200_mil
0,AC,1079,24329783.68,86,0.07970342910101946,119410.02,0.00490797705275775,404,0.3744207599629286,2713109.2,0.1115139055769854,539,0.4995366079703429,12812365.55,0.5266123907436238,40,0.03707136237256719,3525137.4,0.14488979624170667,10,0.009267840593141797,5159761.51,0.21207593038492645
1,AL,6378,60294994.13,2543,0.39871433051113203,3045933.36,0.0505171847837445,2566,0.40232047663844467,12627446.23,0.20942777111437128,1121,0.17576042646597678,25239552.43,0.418601125917383,129,0.02022577610536218,11384127.01,0.18880716673518647,19,0.0029789902790843524,7997935.100000001,0.13264675144931473
2,AM,2075,74122348.91,253,0.12192771084337349,388629.7,0.005243083978246258,575,0.27710843373493976,3147992.64,0.042470222359282224,929,0.447710843373494,27779370.169999998,0.3747772511058703,289,0.13927710843373495,28336046.25,0.38228748369005244,29,0.013975903614457831,14470310.15,0.19522195886654883
3,AP,649,23633686.16,181,0.27889060092449924,222658.85,0.009421249334217273,216,0.33281972265023113,1381748.3,0.05846520473554431,187,0.288135593220339,4462053.26,0.1888005633057793,40,0.061633281972265024,3970638.1,0.16800756653527466,25,0.03852080123266564,13596587.65,0.5753054160891845
4,BA,17594,182864308.19,5776,0.3282937365010799,7798862.07,0.04264835575183328,8957,0.5090940093213595,42508254.8,0.232457909478065,2308,0.13118108446061158,58935860.13,0.3222928559069294,476,0.027054677731044675,45847323.91,0.2507177281548219,77,0.004376491985904286,27774007.28,0.15188315070835037
5,CE,8256,136622936.07,2739,0.33175872093023256,3723850.04,0.027256404723230748,3561,0.43132267441860467,18032030.32,0.1319839174789885,1478,0.17902131782945738,37819829.87,0.2768190390127663,408,0.04941860465116279,43411131.19,0.3177440950892602,70,0.008478682170542635,33636094.65,0.2461965436957543
6,DF,393,41170700.29,98,0.24936386768447838,133862.92,0.0032514122678771666,91,0.23155216284987276,373251.58,0.009065951693094217,39,0.09923664122137404,1071727.78,0.02603132257772922,136,0.3460559796437659,13086856.38,0.3178681996618523,29,0.0737913486005089,26505001.63,0.6437831137994471
7,ES,1883,55760593.34,35,0.01858736059479554,47574.13,0.0008531855052172226,916,0.48645778013807756,5622769.83,0.10083769725539293,695,0.36909187466808285,17329185.21,0.31077835030081835,211,0.11205523101433883,19587596.51,0.3512802740559934,26,0.013807753584705257,13173467.66,0.23625049288257804
8,GO,4340,105845840.4,954,0.21981566820276496,1218562.19,0.011512612922670884,2012,0.46359447004608295,11030483.44,0.10421272482994995,897,0.2066820276497696,24639850.35,0.23278997319955144,399,0.09193548387096774,41013919.24,0.3874873030910339,78,0.017972350230414748,27943025.18,0.2639973859567938
9,MA,8366,114921030.05,3406,0.40712407363136505,4624102.76,0.04023721992387415,3381,0.4041357877121683,16070620.22,0.1398405514900795,1201,0.1435572555582118,28781224.32,0.2504434941757642,308,0.03681568252450394,30079637.51,0.2617418021480743,70,0.008367200573750896,35365445.24,0.30773693226220783
