,visao,uf_bbagil,faixa_vlr_pago_ju_bbagil,metrica,valor_boxplot,unidade_observacao
0,ESTADO,AC,Até 2 mil,quantidade_contemplados,13.0,uf_faixa
1,ESTADO,AC,De 2 a 10 mil,quantidade_contemplados,25.0,uf_faixa
2,ESTADO,AC,De 10 a 50 mil,quantidade_contemplados,368.0,uf_faixa
3,ESTADO,AC,De 50 a 200 mil,quantidade_contemplados,36.0,uf_faixa
4,ESTADO,AC,Acima de 200 mil,quantidade_contemplados,10.0,uf_faixa
5,ESTADO,AL,De 2 a 10 mil,quantidade_contemplados,455.0,uf_faixa
6,ESTADO,AL,De 10 a 50 mil,quantidade_contemplados,704.0,uf_faixa
7,ESTADO,AL,De 50 a 200 mil,quantidade_contemplados,98.0,uf_faixa
8,ESTADO,AL,Acima de 200 mil,quantidade_contemplados,12.0,uf_faixa
9,ESTADO,AM,De 2 a 10 mil,quantidade_contemplados,33.0,uf_faixa
10,ESTADO,AM,De 10 a 50 mil,quantidade_contemplados,376.0,uf_faixa
11,ESTADO,AM,De 50 a 200 mil,quantidade_contemplados,196.0,uf_faixa
12,ESTADO,AM,Acima de 200 mil,quantidade_contemplados,17.0,uf_faixa
13,ESTADO,AP,De 2 a 10 mil,quantidade_contemplados,50.0,uf_faixa
14,ESTADO,AP,De 10 a 50 mil,quantidade_contemplados,143.0,uf_faixa
15,ESTADO,AP,De 50 a 200 mil,quantidade_contemplados,23.0,uf_faixa
16,ESTADO,AP,Acima de 200 mil,quantidade_contemplados,20.0,uf_faixa
17,ESTADO,BA,De 2 a 10 mil,quantidade_contemplados,199.0,uf_faixa
18,ESTADO,BA,De 10 a 50 mil,quantidade_contemplados,647.0,uf_faixa
19,ESTADO,BA,De 50 a 200 mil,quantidade_contemplados,280.0,uf_faixa
20,ESTADO,BA,Acima de 200 mil,quantidade_contemplados,62.0,uf_faixa
21,ESTADO,CE,De 2 a 10 mil,quantidade_contemplados,78.0,uf_faixa
22,ESTADO,CE,De 10 a 50 mil,quantidade_contemplados,486.0,uf_faixa
23,ESTADO,CE,De 50 a 200 mil,quantidade_contemplados,293.0,uf_faixa
24,ESTADO,CE,Acima de 200 mil,quantidade_contemplados,56.0,uf_faixa
25,ESTADO,DF,De 10 a 50 mil,quantidade_contemplados,11.0,uf_faixa
26,ESTADO,DF,De 50 a 200 mil,quantidade_contemplados,48.0,uf_faixa
27,ESTADO,DF,Acima de 200 mil,quantidade_contemplados,17.0,uf_faixa
28,ESTADO,ES,De 2 a 10 mil,quantidade_contemplados,167.0,uf_faixa
