,visao,uf_bbagil,faixa_vlr_pago_ju_bbagil,metrica,valor_boxplot,unidade_observacao
112,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,715.62,contemplado
113,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,1001.87,contemplado
114,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,1883.7,contemplado
115,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,1731.7199999999998,contemplado
116,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,1288.12,contemplado
117,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,861.0,contemplado
118,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,1789.37,contemplado
119,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,1431.24,contemplado
120,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,860.99,contemplado
121,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,1288.12,contemplado
122,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,1431.24,contemplado
123,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,1291.49,contemplado
124,ESTADO,AC,Até 2 mil,valor_transacao_total_bbagil,429.37,contemplado
125,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,2719.37,contemplado
126,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,3434.98,contemplado
127,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,9051.97,contemplado
128,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,9568.17,contemplado
129,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,9697.71,contemplado
130,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,2862.48,contemplado
131,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,3291.8599999999997,contemplado
132,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,2367.73,contemplado
133,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,8945.27,contemplado
134,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,3291.86,contemplado
135,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,9051.97,contemplado
136,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,3936.62,contemplado
137,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,3506.5499999999997,contemplado
138,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,9981.13,contemplado
139,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,9051.97,contemplado
140,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,9051.97,contemplado
141,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,9051.97,contemplado
142,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,7944.799999999999,contemplado
143,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,4723.11,contemplado
144,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,9051.97,contemplado
145,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,3936.62,contemplado
146,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,9568.17,contemplado
147,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,2862.49,contemplado
148,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,9051.97,contemplado
149,ESTADO,AC,De 2 a 10 mil,valor_transacao_total_bbagil,2003.7399999999998,contemplado
150,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
151,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
