,uf,quantidade_contemplados,valor_total,valor_minimo,quartil1,quartil2,quartil3,percentil_99,valor_maximo,valor_medio,media_aparada
0,AC,452,17743059.01,429.37,15000.0,20997.5,30000.0,315674.10000000027,2034002.65,39254.55533185841,31430.077673378073
1,AL,1269,35128148.39,3000.0,10000.0,15000.0,30000.0,195319.99999999994,2634948.3899999997,27681.756020488574,22807.085987261147
2,AM,622,44222860.52,3054.48,30000.0,50000.0,75000.0,270000.0,4055691.37,71097.84649517685,60433.19316558441
3,AP,236,17120298.32,10000.0,20000.0,20000.0,30000.0,1076800.0000000005,1164000.0,72543.63694915254,59014.15587982833
4,BA,1188,76394220.84,3438.45,30000.0,40000.0,70000.0,349956.5,2886960.0,64304.8996969697,58354.87316326531
5,CE,913,78727917.79,2769.16,30000.0,49000.0,100000.0,788771.0239999995,3228537.25,86229.92090909091,72105.36091915835
6,DF,76,21309243.88,12575.09,60000.0,100000.0,119400.0,1998772.7374999998,2000000.0,280384.7878947368,257456.58506666665
7,ES,495,29866850.17,5000.0,5000.0,30000.0,60000.0,477400.00000000064,2917394.64,60337.07105050505,47182.56230612245
8,GO,471,55985604.87,10000.0,50000.0,80000.0,150000.0,650000.0,2000000.0,118865.4031210191,110707.9333404711
9,MA,790,63390851.19,2651.91,20000.0,30000.0,55000.0,409547.5000000001,7792386.6,80241.58378481012,59097.47314578005
10,MG,3284,110795695.1,1076.94,12500.0,25000.0,40500.0,142585.00000000003,3229188.52,33738.03139464068,31257.412882190096
11,MS,520,23316653.57,2000.0,5000.0,15000.0,35000.0,400000.0,2000000.0,44839.71840384616,34581.63631067961
12,MT,239,24571646.22,25000.0,73000.0,73000.0,100000.0,1032500.0000000017,1800000.0,102810.23523012552,86243.55745762713
13,PA,573,73195925.77000001,23109.77,23109.77,23109.77,30000.0,232585.44,22109764.92,127741.58075043632,37519.037781690145
14,PB,1755,37177439.73,1000.0,5000.0,10000.0,25000.0,110920.00000000007,1300000.0,21183.72634188034,18333.324761082327
15,PE,2241,75277246.24,965.98,10000.0,25000.0,40000.0,162249.9999999991,2356525.57,33590.917554663094,29856.283669972945
16,PI,629,31576333.77,5000.0,5000.0,20000.0,80000.0,200000.0,1658000.0,50200.8486009539,41781.70144462279
17,PR,671,73147845.91,4780.33,8052.4349999999995,50000.0,150000.0,586296.3959999991,1595413.0,109013.18317436661,101049.28240963854
18,RJ,853,85881913.38,8048.17,29896.0,50000.0,100000.0,756921.8584000015,4000000.0,100682.19622508792,84260.01329383886
19,RN,946,27951151.25,4533.73,11783.73,19033.73,30817.46,100000.0,1779047.2,29546.67151162791,24551.48473852721
20,RO,31,466832.92,1557.5,2892.5,6237.0,20000.0,100133.79399999994,125905.42,15059.126451612903,11364.25
21,RR,480,14908203.2,1000.0,10000.0,12000.0,30000.0,200000.0,722164.03,31058.756666666664,28771.42418410042
22,RS,620,70502784.62,1256.68,80000.0,100000.0,120000.0,600000.0,2400000.0,113714.16874193549,106487.49533225285
23,SC,1231,44341958.44,1621.22,20000.0,20000.0,40000.0,260000.0,560000.0,36021.087278635256,32800.5893683347
24,SE,301,22540730.32,6000.0,14700.0,40000.0,95000.0,400000.0,1873154.54,74886.14724252492,65320.56060402684
25,SP,1211,290180006.82,5738.27,30000.0,150000.0,300000.0,2000000.0,8000000.0,239620.154269199,209495.3612572856
26,TO,485,21172903.86,7500.0,22500.0,25000.0,50000.0,288599.9999999997,950000.0,43655.471876288655,38816.466374999996
