,uf,macrorregiao,visao,valor_executado_rs,valor_executado_perc,valor_executado_perc_regiao,min_valor,mediana_valor,max_valor,media_valor,media_aparada_1pct_valor,valor_executado_percapita,qtde_contemplados,perc_qtde_contemplados_regiao
0,GO,Centro-Oeste,UF,105504440.4,0.037071188944493745,0.4443770612035251,400.0,5000.0,2000000.0,24422.32416666667,20189.12598410472,14.353402409066181,4320,0.4627745045527584
1,MT,Centro-Oeste,UF,48393906.41,0.017004209884300348,0.20383162859403434,386.7,5000.0,1800000.0,19882.459494658997,16145.757200331813,12.614409087793005,2434,0.2607391537225495
2,MS,Centro-Oeste,UF,42351939.74,0.014881238688294614,0.1783833026039157,378.0,6308.82,2000000.0,19356.46240402194,14504.693448753465,14.594580348358573,2188,0.2343867166577397
3,DF,Centro-Oeste,UF,41170700.29,0.014466185533435741,0.1734080075985249,500.0,26569.7,2000000.0,104760.05162849872,85294.54205655528,13.802618963007465,393,0.04209962506695233
4,BA,Nordeste,UF,176909114.84,0.062160712832298785,0.20757429496697513,400.0,3100.0,2886960.0,10109.09227657143,7772.332610678209,11.912660178136607,17500,0.22027540719482416
5,PE,Nordeste,UF,141508869.19,0.04972209707169954,0.16603781992948305,400.0,3000.0,2356525.57,10503.924375742281,8896.522243046706,14.834724707305114,13472,0.16957430204163834
6,CE,Nordeste,UF,136622936.07,0.04800532241107891,0.160304965952134,400.0,4000.0,3228537.25,16548.32074491279,12580.850405570487,14.796190812176672,8256,0.10391964353145533
7,MA,Nordeste,UF,114921030.05,0.04037990441470929,0.13484128170039128,400.0,3000.0,7792386.6,13736.675836720056,9387.572940750575,16.391625405080045,8366,0.10530423180525136
8,PB,Nordeste,UF,70229086.67,0.024676456568768237,0.08240249896046475,380.0,2000.0,1300000.0,6651.7414917598035,5440.518990623804,16.942921339721693,10558,0.13289529995216876
9,AL,Nordeste,UF,60294994.13,0.021185905648387963,0.07074644462436028,390.0,3000.0,2634948.3899999997,9453.5895468799,7441.976557999685,18.724548688489566,6378,0.08028094554791934
10,PI,Nordeste,UF,57291132.26,0.020130436034751394,0.06722189751209104,393.12,1747.71,1658000.0,9416.688405654175,6872.766850315302,16.971901751546223,6084,0.07658031870704629
11,RN,Nordeste,UF,54056010.1,0.01899370828758561,0.06342600377252097,380.0,3311.83,1779047.2,9379.838643067847,7690.960953549517,15.686272888747794,5763,0.07253983838078695
12,SE,Nordeste,UF,40435720.91,0.01420793517579215,0.04744479258157947,400.0,3000.0,1873154.54,13175.536301726946,10077.35056851791,17.649219519902648,3069,0.03863001283890945
13,PA,Norte,UF,124061836.12,0.04359171756343763,0.40869902551678844,400.0,4000.0,22109764.92,16936.769436177474,8311.997581356869,14.318727445683475,7325,0.5050330943188086
14,AM,Norte,UF,74122348.91,0.026044435580479128,0.24418251991072,400.0,19317.68,4055691.37,35721.61393253012,29965.943094890514,17.31341518482279,2075,0.14306398234969664
15,TO,Norte,UF,32114845.82,0.011284221903863158,0.10579648505734131,400.0,5000.0,950000.0,14916.32411518811,12521.670955951266,20.360103148207553,2153,0.14844180915609487
16,AC,Norte,UF,24329783.68,0.008548777704146188,0.08015002189256863,429.37,15000.0,2034002.65,22548.455681186282,17768.41963483146,27.62767115852156,1079,0.07439327082184224
17,AP,Norte,UF,23633686.16,0.008304189300190125,0.07785685594415019,506.62,8031.76,1344475.68,36415.541078582435,25473.071900311526,29.437714205996983,649,0.04474627688913403
18,RR,Norte,UF,16461023.95,0.005783924607881117,0.05422783232763196,1000.0,10000.0,722164.03,24422.884198813055,21714.91244011976,22.9648224103751,674,0.04646993932708218
19,RO,Norte,UF,8829526.32,0.0031024385064564596,0.029087259350799578,980.0,9442.76,192120.0,16082.925901639344,14957.256397058823,5.056345091445729,549,0.03785162713734142
20,SP,Sudeste,UF,555842429.28,0.1953068481391166,0.5213288806137442,375.0,9600.0,8000000.0,33636.45562965204,26023.17389963504,12.090576723470637,16525,0.361953783813383
21,MG,Sudeste,UF,268555726.93,0.09436266433339517,0.2518804775018366,375.0,4908.9,3229188.52,12482.835685135262,11173.451358354418,12.594832750237764,21514,0.47122987624575624
22,RJ,Sudeste,UF,186074274.97,0.06538108328872339,0.17452049064836395,403.2,10000.0,4000000.0,32456.702419326706,25915.24791262991,10.805908459153041,5733,0.12557222648121782
23,ES,Sudeste,UF,55730593.34,0.019582108088181328,0.05227015123605533,381.84,10000.0,2917394.64,29596.703844928306,23651.241115879828,13.585772982760904,1883,0.041244113459642975
24,PR,Sul,UF,153275262.28,0.05385646506399284,0.3965215522930767,376.0,9463.16,1595413.0,25364.100989574716,20920.837992310266,12.962334432307385,6043,0.33673241948066424
25,RS,Sul,UF,151151437.87,0.05311021499442669,0.39102724003861306,375.0,7500.0,2400000.0,21370.201876148734,18276.764184225514,13.459713441286066,7073,0.39412682491920203
26,SC,Sul,UF,82122937.3,0.028855609430113737,0.21245120766831027,375.04,10000.0,498040.0,17002.678530020705,14845.997973227359,10.19092120920163,4830,0.26914075560013373
