,uf,macrorregiao,visao,valor_executado_rs,valor_executado_perc,valor_executado_perc_regiao,min_valor,mediana_valor,max_valor,media_valor,media_aparada_1pct_valor,valor_executado_percapita,qtde_contemplados,perc_qtde_contemplados_regiao
0,GO,Centro-Oeste,ESTADO,55985604.87,0.03859707130265207,0.44722956342730763,10000.0,80000.0,2000000.0,118865.4031210191,110707.9333404711,7.6165885792811165,471,0.36064318529862177
1,MT,Centro-Oeste,ESTADO,24571646.22,0.0169399541789193,0.1962855744289622,25000.0,73000.0,1800000.0,102810.23523012552,86243.55745762713,6.404872438972067,239,0.18300153139356815
2,MS,Centro-Oeste,ESTADO,23316653.57,0.016074748901440724,0.1862603221115627,2000.0,15000.0,2000000.0,44839.71840384616,34581.63631067961,8.034974928451925,520,0.3981623277182236
3,DF,Centro-Oeste,ESTADO,21309243.88,0.01469081931599683,0.1702245400321675,12575.09,100000.0,2000000.0,280384.7878947368,257456.58506666665,7.14399734747477,76,0.05819295558958652
4,CE,Nordeste,ESTADO,78727917.79,0.05427586365291261,0.17566763695347015,2769.16,49000.0,3228537.25,86229.92090909091,72105.36091915835,8.52619133634608,913,0.09100877192982457
5,BA,Nordeste,ESTADO,76394220.84,0.052666988160952034,0.17046039865630674,3438.45,40000.0,2886960.0,64304.8996969697,58354.87316326531,5.1442142665374595,1188,0.11842105263157894
6,PE,Nordeste,ESTADO,75277246.24,0.051896933994714865,0.16796806437353756,965.98,25000.0,2356525.57,33590.917554663094,29856.283669972945,7.891499883269041,2241,0.22338516746411483
7,MA,Nordeste,ESTADO,63390851.19,0.04370232685701153,0.14144564400547155,2651.91,30000.0,7792386.6,80241.58378481012,59097.47314578005,9.041679197998562,790,0.07874800637958533
8,PB,Nordeste,ESTADO,37177439.73,0.02563052226444329,0.08295498177367909,1000.0,10000.0,1300000.0,21183.72634188034,18333.324761082327,8.969138954026981,1755,0.1749401913875598
9,AL,Nordeste,ESTADO,35128148.39,0.024217719024154084,0.07838234506191868,3000.0,15000.0,2634948.3899999997,27681.756020488574,22807.085987261147,10.909010513325036,1269,0.12649521531100477
10,PI,Nordeste,ESTADO,31576333.77,0.0217690602580254,0.07045708933679597,5000.0,20000.0,1658000.0,50200.8486009539,41781.70144462279,9.354160291096875,629,0.06269936204146731
11,RN,Nordeste,ESTADO,27951151.25,0.01926982088150229,0.06236812592089428,4533.73,19033.73,1779047.2,29546.67151162791,24551.48473852721,8.111020129881247,946,0.09429824561403509
12,SE,Nordeste,ESTADO,22540730.32,0.015539819162355535,0.050295713917926,6000.0,40000.0,1873154.54,74886.14724252492,65320.56060402684,9.838486580765291,301,0.030003987240829345
13,PA,Norte,ESTADO,73195925.77000001,0.05046204953163201,0.3876285196433605,23109.77,23109.77,22109764.92,127741.58075043632,37519.037781690145,8.44798484379476,573,0.1990274400833623
14,AM,Norte,ESTADO,44222860.52,0.03048771027232946,0.2341939360344593,3054.48,50000.0,4055691.37,71097.84649517685,60433.19316558441,10.329526196922412,622,0.2160472386245224
15,TO,Norte,ESTADO,21172903.86,0.014596825056480222,0.11212675150242848,7500.0,25000.0,950000.0,43655.471876288655,38816.466374999996,13.423153545648312,485,0.16846127127474816
16,AC,Norte,ESTADO,17743059.01,0.012232253546716629,0.09396309460724085,429.37,20997.5,2034002.65,39254.55533185841,31430.077673378073,20.14811993899829,452,0.1569989579715179
17,AP,Norte,ESTADO,17120298.32,0.011802915705101221,0.09066509950959953,10000.0,20000.0,1164000.0,72543.63694915254,59014.15587982833,21.324750005293726,236,0.08197290725946509
18,RR,Norte,ESTADO,14908203.2,0.010277873807757356,0.07895036064052241,1000.0,12000.0,722164.03,31058.756666666664,28771.42418410042,20.798477663704862,480,0.1667245571378951
19,RO,Norte,ESTADO,466832.92,0.0003218395789686369,0.0024722380623889103,1557.5,6237.0,125905.42,15059.126451612903,11364.25,0.2673380494059478,31,0.01076762764848906
20,SP,Sudeste,ESTADO,290180006.82,0.2000531822393009,0.5615759001386925,5738.27,150000.0,8000000.0,239620.154269199,209495.3612572856,6.311939231805386,1211,0.20725654629471163
21,MG,Sudeste,ESTADO,110795695.1,0.07638373031302391,0.21441929404140547,1076.94,25000.0,3229188.52,33738.03139464068,31257.412882190096,5.196140351140482,3284,0.5620400479205887
22,RJ,Sudeste,ESTADO,85881913.38,0.05920790428241467,0.16620446508543757,8048.17,50000.0,4000000.0,100682.19622508792,84260.01329383886,4.987428243000348,853,0.1459866506931371
23,ES,Sudeste,ESTADO,29866850.17,0.020590524086930635,0.05780034073446444,5000.0,30000.0,2917394.64,60337.07105050505,47182.56230612245,7.2808169050753895,495,0.08471675509156255
24,PR,Sul,ESTADO,73147845.91,0.05042890276490597,0.42623822849492204,4780.33,50000.0,1595413.0,109013.18317436661,101049.28240963854,6.186039596893442,671,0.3371859296482412
25,RS,Sul,ESTADO,70502784.62,0.04860536938615488,0.4108252491448909,1256.68,100000.0,2400000.0,113714.16874193549,106487.49533225285,6.2781227302254745,620,0.31155778894472363
26,SC,Sul,ESTADO,27961958.44,0.019277271473203142,0.1629365223601871,1621.22,30000.0,498040.0,40002.801773962805,37296.71244956772,3.4698967753191967,699,0.3512562814070352
