,uf,macrorregiao,visao,valor_executado_rs,valor_executado_perc,valor_executado_perc_regiao,min_valor,mediana_valor,max_valor,media_valor,media_aparada_1pct_valor,valor_executado_percapita,qtde_contemplados,perc_qtde_contemplados_regiao
0,GO,Centro-Oeste,UF,105845840.4,0.03682314823876719,0.4451748731443716,400.0,5000.0,2000000.0,24388.442488479264,20174.611670544436,14.399848336497072,4340,0.46392303580972744
1,MT,Centro-Oeste,UF,48393906.41,0.016835956735324436,0.20353894934006625,386.7,5000.0,1800000.0,19882.459494658997,16145.757200331813,12.614409087793005,2434,0.26018172100481024
2,MS,Centro-Oeste,UF,42351939.74,0.01473399190135161,0.17812716427893344,378.0,6308.82,2000000.0,19356.46240402194,14504.693448753465,14.594580348358573,2188,0.23388562266167826
3,DF,Centro-Oeste,UF,41170700.29,0.014323045611837998,0.17315901323662872,500.0,26569.7,2000000.0,104760.05162849872,85294.54205655528,13.802618963007465,393,0.042009620523784076
4,BA,Nordeste,UF,182864308.19,0.06361742230599719,0.21306915940815452,400.0,3166.35,2886960.0,10393.560770148913,8068.382518641733,12.313669446301283,17594,0.221194101155379
5,PE,Nordeste,UF,141508869.19,0.049230107178436504,0.16488278169507015,400.0,3000.0,2356525.57,10503.924375742281,8896.522243046706,14.834724707305114,13472,0.16937177053343558
6,CE,Nordeste,UF,136622936.07,0.04753031964892616,0.1591898081831413,400.0,4000.0,3228537.25,16548.32074491279,12580.850405570487,14.796190812176672,8256,0.10379552683521706
7,MA,Nordeste,UF,114921030.05,0.03998035359056933,0.1339032614589346,400.0,3000.0,7792386.6,13736.675836720056,9387.572940750575,16.391625405080045,8366,0.10517846142241108
8,PB,Nordeste,UF,70229086.67,0.024432288121571177,0.08182926789207969,380.0,2000.0,1300000.0,6651.7414917598035,5440.518990623804,16.942921339721693,10558,0.13273657610540476
9,AL,Nordeste,UF,60294994.13,0.020976275482476,0.07025429862699284,390.0,3000.0,2634948.3899999997,9453.5895468799,7441.976557999685,18.724548688489566,6378,0.08018506179203178
10,PI,Nordeste,UF,57291132.26,0.019931249522931623,0.06675426994477399,393.12,1747.71,1658000.0,9416.688405654175,6872.766850315302,16.971901751546223,6084,0.07648885480444048
11,RN,Nordeste,UF,54056010.1,0.018805769462326424,0.06298478225175906,380.0,3311.83,1779047.2,9379.838643067847,7690.960953549517,15.686272888747794,5763,0.0724532002363561
12,SE,Nordeste,UF,40450848.71,0.014072613461268096,0.04713237053909384,400.0,3000.0,1873154.54,13176.172218241043,10079.009717477004,17.65582244071238,3070,0.03859644711532417
13,PA,Norte,UF,124061836.12,0.043160386510761754,0.4038363262380512,400.0,4000.0,22109764.92,16936.769436177474,8311.997581356869,14.318727445683475,7325,0.49809601523187813
14,AM,Norte,UF,74122348.91,0.025786731263164057,0.24127723732055803,400.0,19317.68,4055691.37,35721.61393253012,29965.943094890514,17.31341518482279,2075,0.14109887120903034
15,TO,Norte,UF,32114845.82,0.011172566855966999,0.1045377189251472,400.0,5000.0,950000.0,14916.32411518811,12521.670955951266,20.360103148207553,2153,0.1464028287773698
16,AC,Norte,UF,24329783.68,0.008464189312306492,0.0791963972707459,429.37,15000.0,2034002.65,22548.455681186282,17768.41963483146,27.62767115852156,1079,0.07337141302869576
17,AP,Norte,UF,23633686.16,0.00822202106015099,0.07693051540109251,506.62,8031.76,1344475.68,36415.541078582435,25473.071900311526,29.437714205996983,649,0.04413164694682443
18,RR,Norte,UF,20016691.95,0.006963689948883318,0.06515676047796005,1000.0,10000.0,722164.03,22954.921961009175,20333.36590751445,27.92534518333745,872,0.05929552563579491
19,RO,Norte,UF,8929020.34,0.0031063539045487836,0.029065044366445046,980.0,9622.12,192120.0,16146.510560578661,15029.637773722628,5.113321658638882,553,0.03760369917040664
20,SP,Sudeste,UF,556507880.43,0.193605833726424,0.5215830586353447,375.0,9611.63,8000000.0,33619.75958617773,26019.336292203057,12.105051487830059,16553,0.3622972706778437
21,MG,Sudeste,UF,268555726.93,0.09342896523606109,0.2517019477926458,375.0,4908.9,3229188.52,12482.835685135262,11173.451358354418,12.594832750237764,21514,0.47087920506029896
22,RJ,Sudeste,UF,186135071.11,0.06475530157836039,0.17445377347369473,403.2,10000.0,4000000.0,32433.36314863217,25898.584997360547,10.809439078974702,5739,0.1256101030882707
23,ES,Sudeste,UF,55760593.34,0.019398783992653098,0.052261220098314715,381.84,10000.0,2917394.64,29612.635868295274,23667.335536480685,13.593086258379492,1883,0.04121342117358664
24,PR,Sul,UF,153756363.91,0.053490938892972906,0.380332313599369,376.0,9778.15,1595413.0,25435.29593217535,20994.24373328877,13.00302071221468,6045,0.326298175537083
25,RS,Sul,UF,151153937.87,0.05258557010862389,0.3738949428682049,375.0,7500.0,2400000.0,21367.534332767882,18274.51838149466,13.45993606095861,7074,0.38184173593868076
26,SC,Sul,UF,99358171.9,0.034566126347338376,0.24577274353242612,375.04,10864.0,560000.0,18375.840928426114,16295.789152194211,12.329701476997847,5407,0.2918600885242362
