,uf,total_qtd_contemplados_uf,total_valor_transacao_uf,qtd_contemplados_territorios_especiais,valor_transacao_territorios_especiais,perc_qtd_contemplados_territorios_especiais_uf,perc_valor_transacao_territorios_especiais_uf,qtd_contemplados_favela_comunidade_urbana,perc_qtd_contemplados_favela_comunidade_urbana,valor_transacao_favela_comunidade_urbana,perc_valor_transacao_favela_comunidade_urbana,qtd_contemplados_agrupamento_quilombola,perc_qtd_contemplados_agrupamento_quilombola,valor_transacao_agrupamento_quilombola,perc_valor_transacao_agrupamento_quilombola,qtd_contemplados_agrupamento_indigena,perc_qtd_contemplados_agrupamento_indigena,valor_transacao_agrupamento_indigena,perc_valor_transacao_agrupamento_indigena
0,AC,452,17743059.01,44,1877948.75,0.09734513274336283,0.10584131794532085,44.0,0.09734513274336283,1877948.75,0.10584131794532085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,1269,35128148.39,58,1523500.0,0.045705279747832936,0.0433697780789863,53.0,0.04176516942474389,1198500.0,0.03411793831812608,2.0,0.0015760441292356187,270000.0,0.00768614380133003,3.0,0.002364066193853428,55000.0,0.0015656959595301914
2,AM,622,44222860.52,170,10312204.86,0.2733118971061093,0.2331871963672783,169.0,0.2717041800643087,10083954.86,0.22802583870483642,0.0,0.0,0.0,0.0,1.0,0.001607717041800643,228250.0,0.005161357662441868
3,AP,236,17120298.32,33,4722000.0,0.13983050847457626,0.275812950904234,32.0,0.13559322033898305,4628000.0,0.2703223923728918,1.0,0.00423728813559322,94000.0,0.005490558531342227,0.0,0.0,0.0,0.0
4,BA,1188,76394220.84,136,7926654.94,0.11447811447811448,0.10375987676609177,121.0,0.10185185185185185,6828054.94,0.08937920781076716,13.0,0.010942760942760943,818600.0,0.010715470241060187,2.0,0.0016835016835016834,280000.0,0.0036651987142644177
5,CE,913,78727917.79,54,3213533.0100000002,0.05914567360350493,0.040818214176219225,45.0,0.04928806133625411,2712799.95,0.03445791564354798,3.0,0.0032858707557502738,141666.54,0.0017994447710135482,6.0,0.0065717415115005475,359066.52,0.004560853761657704
6,DF,76,21309243.88,2,72575.09,0.02631578947368421,0.00340580315325576,2.0,0.02631578947368421,72575.09,0.00340580315325576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ES,495,29866850.17,48,3122954.26,0.09696969696969697,0.10456255822841594,43.0,0.08686868686868687,2912954.26,0.09753135142874692,5.0,0.010101010101010102,210000.0,0.007031206799669025,0.0,0.0,0.0,0.0
8,GO,471,55985604.87,7,695000.0,0.014861995753715499,0.012413905353238707,7.0,0.014861995753715499,695000.0,0.012413905353238707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,MA,790,63390851.19,100,4923674.67,0.12658227848101267,0.07767169201187059,90.0,0.11392405063291139,4698468.96,0.07411903881709023,10.0,0.012658227848101266,225205.71,0.0035526531947803618,0.0,0.0,0.0,0.0
