,uf,total_qtd_contemplados_uf,total_valor_transacao_uf,qtd_contemplados_territorios_especiais,valor_transacao_territorios_especiais,perc_qtd_contemplados_territorios_especiais_uf,perc_valor_transacao_territorios_especiais_uf,qtd_contemplados_favela_comunidade_urbana,perc_qtd_contemplados_favela_comunidade_urbana,valor_transacao_favela_comunidade_urbana,perc_valor_transacao_favela_comunidade_urbana,qtd_contemplados_agrupamento_quilombola,perc_qtd_contemplados_agrupamento_quilombola,valor_transacao_agrupamento_quilombola,perc_valor_transacao_agrupamento_quilombola,qtd_contemplados_agrupamento_indigena,perc_qtd_contemplados_agrupamento_indigena,valor_transacao_agrupamento_indigena,perc_valor_transacao_agrupamento_indigena
0,AC,627,6586724.67,45,741155.98,0.07177033492822966,0.11252269027968949,45,0.07177033492822966,741155.98,0.11252269027968949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,5109,25166845.74,94,520874.8,0.018398903895087103,0.020696864652057903,69,0.013505578391074574,425265.02999999997,0.016897827975481523,11.0,0.002153063221765512,57873.29,0.0022995845644659643,14.0,0.002740262282247015,37736.48,0.0014994521121104152
2,AM,1453,29899488.39,287,6858151.59,0.19752236751548521,0.22937354313707037,274,0.18857536132140398,6737901.59,0.22535173519067694,0.0,0.0,0.0,0.0,13.0,0.008947006194081212,120250.0,0.004021807946393427
3,AP,413,6513387.84,51,1889308.8399999999,0.1234866828087167,0.29006546000491196,51,0.1234866828087167,1889308.8399999999,0.29006546000491196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,BA,16312,100514894.0,603,6158303.07,0.03696665031878372,0.061267567670120614,408,0.02501226091221187,5206544.62,0.05179873760798077,177.0,0.010850907307503679,820031.97,0.008158313035678075,18.0,0.0011034820990681706,131726.48,0.00131051702646177
5,CE,7343,57895018.28,199,3595001.4,0.02710064006536838,0.06209517687019892,164,0.0223341958327659,3396904.0,0.05867351113996401,5.0,0.0006809206046574969,62099.73,0.0010726264857481276,30.0,0.004085523627944981,135997.66999999998,0.002349039244486788
6,DF,317,19861456.41,3,143439.95,0.00946372239747634,0.007222025768854481,3,0.00946372239747634,143439.95,0.007222025768854481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ES,1388,25863743.169999998,108,3421547.6,0.07780979827089338,0.1322912765376026,103,0.07420749279538905,3364427.7,0.13008278337307663,4.0,0.002881844380403458,47119.9,0.001821851527456225,1.0,0.0007204610951008645,10000.0,0.0003866416370697359
8,GO,3849,49518835.53,27,402976.11,0.007014809041309431,0.008137834940724018,21,0.005455962587685113,327430.33,0.006612238080631619,6.0,0.001558846453624318,75545.78,0.0015255968600924005,0.0,0.0,0.0,0.0
9,MA,7576,51530178.86,267,3296527.12,0.0352428722280887,0.06397274748368689,208,0.027455121436114043,3034697.87,0.058891661879242316,58.0,0.007655755015839493,260829.25,0.005061679500640491,1.0,0.00013199577613516366,1000.0,1.9406103804080606e-05
10,MG,18230,157760031.83,200,3459670.9499999997,0.010970927043335162,0.021929958493720973,161,0.008831596269884806,2738724.03,0.017360062610479253,38.0,0.0020844761382336806,716946.92,0.004544540918783358,1.0,5.485463521667581e-05,4000.0,2.535496445836385e-05
11,MS,1668,19035286.17,6,95877.17,0.0035971223021582736,0.0050368126406790965,1,0.0005995203836930455,16500.0,0.0008668112395391426,1.0,0.0005995203836930455,2000.0,0.00010506802903504759,4.0,0.002398081534772182,77377.17,0.0040649333721049065
12,MT,2195,23822260.19,13,280491.3,0.00592255125284738,0.011774336178132389,13,0.00592255125284738,280491.3,0.011774336178132389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,PA,6752,50865910.35,536,6449471.94,0.07938388625592417,0.12679360097208994,523,0.07745853080568721,6376986.37,0.12536856857807127,11.0,0.0016291469194312795,64985.57,0.0012775859028737505,2.0,0.0002962085308056872,7500.0,0.00014744649114492846
14,PB,8803,33051646.94,138,919338.85,0.01567647392934227,0.027815220574905486,112,0.01272293536294445,826500.6,0.025006336340829858,4.0,0.00045439054867658755,19889.0,0.0006017551874526952,22.0,0.0024991480177212312,72949.25,0.0022071290466229333
15,PE,11231,66231622.95,407,5304442.83,0.03623898139079334,0.08008927750425901,382,0.0340129997328822,5199474.91,0.07850441644658505,21.0,0.0018698245926453566,94267.92,0.0014233068102704554,4.0,0.0003561570652657822,10700.0,0.0001615542474035056
16,PI,5455,25714798.49,57,761353.62,0.010449129239230064,0.029607605919839353,57,0.010449129239230064,761353.62,0.029607605919839353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,PR,5372,80127416.37,55,1179861.21,0.010238272524199553,0.014724812847475566,51,0.00949367088607595,1076883.84,0.013439642619042305,0.0,0.0,0.0,0.0,4.0,0.0007446016381236039,102977.37,0.0012851702284332619
18,RJ,4880,100192361.59,185,4608696.96,0.03790983606557377,0.045998486180607055,182,0.037295081967213116,4590583.65,0.04581770084215858,3.0,0.0006147540983606558,18113.309999999998,0.0001807853384484736,0.0,0.0,0.0,0.0
19,RN,4817,26104858.85,115,1494898.26,0.023873780361220676,0.05726513476245055,92,0.01909902428897654,1422673.34,0.05449841150931946,20.0,0.004151961801951422,59624.92,0.002284054487427347,3.0,0.0006227942702927133,12600.0,0.0004826687657037456
20,RO,518,8362693.4,13,357737.74,0.025096525096525095,0.042777813664674105,13,0.025096525096525095,357737.74,0.042777813664674105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,RR,194,1552820.75,7,66021.58,0.03608247422680412,0.04251719330772725,3,0.015463917525773196,18188.58,0.011713251513415185,0.0,0.0,0.0,0.0,4.0,0.020618556701030927,47833.0,0.030803941794312062
22,RS,6453,80648653.25,101,1413890.94,0.015651634898496823,0.01753148853728689,76,0.01177746784441345,1007827.22,0.012496516425089838,7.0,0.0010847667751433443,151663.72,0.0018805486996771395,18.0,0.002789400278940028,254400.0,0.003154423412519911
23,SC,4131,54160978.86,17,281044.15,0.00411522633744856,0.005189052264481174,12,0.002904865649963689,122673.74,0.0022649838053536244,2.0,0.0004841442749939482,78958.0,0.0014578392352194648,3.0,0.0007262164124909223,79412.41,0.001466229223908085
24,SE,2768,17894990.59,47,751168.01,0.016979768786127166,0.0419764406257785,34,0.012283236994219654,480400.0,0.02684550168293774,13.0,0.004696531791907515,270768.01,0.015130938942840764,0.0,0.0,0.0,0.0
25,SP,15314,265662422.46,228,4626387.9799999995,0.01488833746898263,0.017414536603107957,218,0.014235340211571112,4518617.09,0.017008868052011964,9.0,0.000587697531670367,104437.89,0.00039312255392734327,1.0,6.52997257411519e-05,3333.0,1.2545997168650526e-05
26,TO,1668,10941941.96,6,57234.31,0.0035971223021582736,0.005230726886436527,5,0.002997601918465228,56351.85,0.005150077582754788,1.0,0.0005995203836930455,882.46,8.064930368173878e-05,0.0,0.0,0.0,0.0
