,uf,total_qtd_contemplados_uf,total_valor_transacao_uf,qtd_contemplados_territorios_especiais,valor_transacao_territorios_especiais,perc_qtd_contemplados_territorios_especiais_uf,perc_valor_transacao_territorios_especiais_uf,qtd_contemplados_favela_comunidade_urbana,perc_qtd_contemplados_favela_comunidade_urbana,valor_transacao_favela_comunidade_urbana,perc_valor_transacao_favela_comunidade_urbana,qtd_contemplados_agrupamento_quilombola,perc_qtd_contemplados_agrupamento_quilombola,valor_transacao_agrupamento_quilombola,perc_valor_transacao_agrupamento_quilombola,qtd_contemplados_agrupamento_indigena,perc_qtd_contemplados_agrupamento_indigena,valor_transacao_agrupamento_indigena,perc_valor_transacao_agrupamento_indigena
0,AC,1079,24329783.68,89,2619104.73,0.082483781278962,0.10765014454908627,89,0.082483781278962,2619104.73,0.10765014454908627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,6378,60294994.13,152,2044374.8,0.02383192223267482,0.03390621111252109,122,0.019128253370962685,1623765.03,0.026930345602141616,13.0,0.0020382565067419253,327873.29,0.0054378194198523916,17.0,0.00266541235497021,92736.48,0.0015380460905270843
2,AM,2075,74122348.91,457,17170356.45,0.2202409638554217,0.23164884414076511,443,0.21349397590361446,16821856.45,0.22694715827779885,0.0,0.0,0.0,0.0,14.0,0.006746987951807229,348500.0,0.004701685862966266
3,AP,649,23633686.16,84,6611308.84,0.12942989214175654,0.2797409086014536,83,0.12788906009244994,6517308.84,0.2757635349762129,1.0,0.0015408320493066256,94000.0,0.003977373625240694,0.0,0.0,0.0,0.0
4,BA,17500,176909114.84,739,14084958.01,0.04222857142857143,0.07961691528861418,529,0.030228571428571428,12034599.56,0.06802701811539967,190.0,0.010857142857142857,1638631.97,0.00926256383952862,20.0,0.001142857142857143,411726.48,0.0023273333336859057
5,CE,8256,136622936.07,253,6808534.41,0.03064437984496124,0.049834490502470144,209,0.025314922480620155,6109703.95,0.04471946018543796,8.0,0.0009689922480620155,203766.27,0.001491449941432956,36.0,0.00436046511627907,495064.19,0.0036235803755992287
6,DF,393,41170700.29,5,216015.04,0.01272264631043257,0.005246814809522882,5,0.01272264631043257,216015.04,0.005246814809522882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ES,1883,55730593.34,156,6544501.86,0.08284652150823155,0.11743104581846894,146,0.07753584705257567,6277381.96,0.11263798900727798,9.0,0.004779607010090282,257119.9,0.004613622152403231,1.0,0.0005310674455655868,10000.0,0.00017943465878771854
8,GO,4320,105504440.4,34,1097976.1099999999,0.00787037037037037,0.010406918475063536,28,0.006481481481481481,1022430.33,0.009690874868618325,6.0,0.001388888888888889,75545.78,0.0007160436064452127,0.0,0.0,0.0,0.0
9,MA,8366,114921030.05,367,8220201.79,0.043868037293808275,0.07152913427963135,298,0.03562036815682525,7733166.83,0.06729113745878751,68.0,0.008128137700215157,486034.96,0.004229295193303917,1.0,0.00011953143676786995,1000.0,8.701627539928234e-06
10,MG,21514,268555726.93,294,6641078.25,0.013665520126429302,0.024728864753388858,231,0.010737194385051595,4808131.33,0.017903663366126078,61.0,0.0028353630194292087,1766446.92,0.006577580527487431,2.0,9.296272194849865e-05,66500.0,0.0002476208597753473
11,MS,2188,42351939.74,38,606547.17,0.01736745886654479,0.014321591259423151,2,0.0009140767824497258,26500.0,0.0006257092393567898,2.0,0.0009140767824497258,7000.0,0.00016528168586783128,34.0,0.015539305301645339,573047.17,0.01353060033419853
12,MT,2434,48393906.41,14,353491.3,0.005751848808545604,0.00730445889210042,13,0.005341002465078061,280491.3,0.005796004513949301,0.0,0.0,0.0,0.0,1.0,0.0004108463434675431,73000.0,0.0015084543781511191
13,PA,7325,124061836.12,684,34108864.24,0.09337883959044369,0.27493438197229225,668,0.09119453924914676,33878759.13,0.2730796205307686,14.0,0.0019112627986348123,222605.11,0.0017943077175214708,2.0,0.00027303754266211604,7500.0,6.045372400216254e-05
14,PB,10558,70229086.67,243,2911610.85,0.023015722674749006,0.04145876001038417,170,0.01610153438151165,1820015.6,0.025915410356282795,5.0,0.0004735745406326956,24410.0,0.00034757678274673195,68.0,0.0064406137526046596,1067185.25,0.015195772871354643
15,PE,13472,141508869.19,595,11881007.72,0.044165676959619954,0.08395945630833714,545,0.04045427553444181,10471413.8,0.07399828618473607,34.0,0.0025237529691211403,664059.92,0.004692708830203324,16.0,0.0011876484560570072,745534.0,0.005268461293397747
16,PI,6084,57291132.26,94,1792353.62,0.015450361604207758,0.03128500955201754,94,0.015450361604207758,1792353.62,0.03128500955201754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,PR,6043,153275262.28,69,2441289.3,0.011418169783220255,0.015927484081157885,62,0.010259804732748635,1744217.55,0.011379641594177804,2.0,0.00033096144299189144,300000.0,0.001957263002114238,5.0,0.0008274036074797286,397071.75,0.002590579484865847
