,uf,natureza_juridica,quantidade_contemplados,valor_contemplados,total_quantidade_uf,total_valor_uf,perc_quantidade_contemplados_na_uf,perc_valor_contemplados_na_uf,perc_quantidade_contemplados,perc_valor_contemplados
0,AC,Microempresa-ME,13,291003.11,59,1461081.65,0.22033898305084745,0.19916964257267894,0.22033898305084745,0.19916964257267894
1,AC,MEI,6,110685.93,59,1461081.65,0.1016949152542373,0.07575615640645408,0.1016949152542373,0.07575615640645408
2,AC,Empresa de Pequeno Porte (EPP),1,50000.0,59,1461081.65,0.01694915254237288,0.03422122233894321,0.01694915254237288,0.03422122233894321
3,AC,Administração Pública,1,3941.42,59,1461081.65,0.01694915254237288,0.002697604203023151,0.01694915254237288,0.002697604203023151
4,AC,Entidades sem fins lucrativos,38,1005451.19,59,1461081.65,0.6440677966101694,0.6881553744789006,0.6440677966101694,0.6881553744789006
5,AC,Entidades Empresariais,0,0.0,59,1461081.65,0.0,0.0,0.0,0.0
6,AL,Microempresa-ME,114,1783957.54,422,9229307.24,0.27014218009478674,0.19329268097916308,0.27014218009478674,0.19329268097916308
7,AL,MEI,110,1282683.99,422,9229307.24,0.26066350710900477,0.13897944413864805,0.26066350710900477,0.13897944413864805
8,AL,Empresa de Pequeno Porte (EPP),21,329956.8,422,9229307.24,0.04976303317535545,0.03575098232399943,0.04976303317535545,0.03575098232399943
9,AL,Administração Pública,3,101304.56,422,9229307.24,0.0071090047393364926,0.010976399134373167,0.0071090047393364926,0.010976399134373167
10,AL,Entidades sem fins lucrativos,152,5331270.68,422,9229307.24,0.36018957345971564,0.5776458125582998,0.36018957345971564,0.5776458125582998
11,AL,Entidades Empresariais,22,400133.67,422,9229307.24,0.052132701421800945,0.0433546808655164,0.052132701421800945,0.0433546808655164
12,AP,Microempresa-ME,18,1434490.0,61,5092161.39,0.29508196721311475,0.2817055254409366,0.29508196721311475,0.2817055254409366
13,AP,MEI,2,4780.67,61,5092161.39,0.03278688524590164,0.0009388292384817757,0.03278688524590164,0.0009388292384817757
14,AP,Empresa de Pequeno Porte (EPP),3,75172.63,61,5092161.39,0.04918032786885246,0.014762420953040534,0.04918032786885246,0.014762420953040534
