,regiao,natureza_juridica,quantidade_contemplados,valor_contemplados,total_quantidade_regiao,total_valor_regiao,perc_quantidade_contemplados_na_regiao,perc_valor_contemplados_na_regiao,perc_quantidade_contemplados,perc_valor_contemplados
0,Norte,Microempresa-ME,416,23338719.81,1604,154866287.1,0.2593516209476309,0.15070239137927907,0.2593516209476309,0.15070239137927907
1,Norte,MEI,276,7260309.59,1604,154866287.1,0.17206982543640897,0.04688114970633915,0.17206982543640897,0.04688114970633915
2,Norte,Empresa de Pequeno Porte (EPP),132,11837640.82,1604,154866287.1,0.08229426433915212,0.07643781640064902,0.08229426433915212,0.07643781640064902
3,Norte,Administração Pública,10,20555213.029999997,1604,154866287.1,0.006234413965087282,0.1327287779342648,0.006234413965087282,0.1327287779342648
4,Norte,Entidades sem fins lucrativos,748,88594231.7,1604,154866287.1,0.46633416458852867,0.5720691918105655,0.46633416458852867,0.5720691918105655
5,Norte,Entidades Empresariais,22,3280172.15,1604,154866287.1,0.01371571072319202,0.021180672768902457,0.01371571072319202,0.021180672768902457
6,Nordeste,Microempresa-ME,2579,94900071.38,9125,398190681.85,0.28263013698630135,0.23832820732793847,0.28263013698630135,0.23832820732793847
7,Nordeste,MEI,2278,46083325.71,9125,398190681.85,0.24964383561643835,0.11573180340608716,0.24964383561643835,0.11573180340608716
8,Nordeste,Empresa de Pequeno Porte (EPP),560,25515986.41,9125,398190681.85,0.06136986301369863,0.06407981796925115,0.06136986301369863,0.06407981796925115
9,Nordeste,Administração Pública,24,1635765.62,9125,398190681.85,0.00263013698630137,0.004107995728077332,0.00263013698630137,0.004107995728077332
10,Nordeste,Entidades sem fins lucrativos,3503,203622479.79,9125,398190681.85,0.3838904109589041,0.5113692737458516,0.3838904109589041,0.5113692737458516
11,Nordeste,Entidades Empresariais,181,26433052.94,9125,398190681.85,0.019835616438356164,0.06638290182279412,0.019835616438356164,0.06638290182279412
12,Centro-Oeste,Microempresa-ME,608,32443804.81,1900,117026150.11,0.32,0.2772355134258804,0.32,0.2772355134258804
13,Centro-Oeste,MEI,489,11357043.39,1900,117026150.11,0.2573684210526316,0.09704705639999969,0.2573684210526316,0.09704705639999969
14,Centro-Oeste,Empresa de Pequeno Porte (EPP),114,3232689.47,1900,117026150.11,0.06,0.02762365050000704,0.06,0.02762365050000704
15,Centro-Oeste,Administração Pública,7,1742989.99,1900,117026150.11,0.0036842105263157894,0.01489402145043358,0.0036842105263157894,0.01489402145043358
16,Centro-Oeste,Entidades sem fins lucrativos,633,65611811.72,1900,117026150.11,0.3331578947368421,0.5606594052553849,0.3331578947368421,0.5606594052553849
17,Centro-Oeste,Entidades Empresariais,49,2637810.73,1900,117026150.11,0.025789473684210525,0.02254035296829436,0.025789473684210525,0.02254035296829436
18,Sudeste,Microempresa-ME,3706,181209069.62,11929,668929969.6700001,0.31067147288121383,0.2708939318556694,0.31067147288121383,0.2708939318556694
19,Sudeste,MEI,3891,115562336.14,11929,668929969.6700001,0.3261798977282253,0.1727570020476281,0.3261798977282253,0.1727570020476281
20,Sudeste,Empresa de Pequeno Porte (EPP),617,30773358.91,11929,668929969.6700001,0.05172269259787073,0.04600385736220081,0.05172269259787073,0.04600385736220081
21,Sudeste,Administração Pública,46,4267006.64,11929,668929969.6700001,0.0038561488808785314,0.006378854040737659,0.0038561488808785314,0.006378854040737659
22,Sudeste,Entidades sem fins lucrativos,3428,303922046.98,11929,668929969.6700001,0.28736692094894795,0.454340604786974,0.28736692094894795,0.454340604786974
23,Sudeste,Entidades Empresariais,241,33196151.38,11929,668929969.6700001,0.020202866962863608,0.04962574990678993,0.020202866962863608,0.04962574990678993
24,Sul,Microempresa-ME,2641,92484428.7,8205,272594869.94,0.32187690432663013,0.3392742817220165,0.32187690432663013,0.3392742817220165
25,Sul,MEI,2355,64266192.42,8205,272594869.94,0.2870201096892139,0.23575716019213946,0.2870201096892139,0.23575716019213946
26,Sul,Empresa de Pequeno Porte (EPP),580,14853978.85,8205,272594869.94,0.07068860450944546,0.05449104325869912,0.07068860450944546,0.05449104325869912
27,Sul,Administração Pública,37,2243586.33,8205,272594869.94,0.0045094454600853135,0.008230478917280537,0.0045094454600853135,0.008230478917280537
28,Sul,Entidades sem fins lucrativos,2360,94646592.87,8205,272594869.94,0.28762949421084705,0.34720606771078405,0.28762949421084705,0.34720606771078405
29,Sul,Entidades Empresariais,232,4100090.77,8205,272594869.94,0.028275441803778185,0.015040968199080408,0.028275441803778185,0.015040968199080408
