,uf,natureza_juridica,quantidade_contemplados,valor_contemplados,total_quantidade_uf,total_valor_uf,perc_quantidade_contemplados_na_uf,perc_valor_contemplados_na_uf,perc_quantidade_contemplados,perc_valor_contemplados
0,AC,Microempresa-ME,13,2797027.9299999997,62,8445940.91,0.20967741935483872,0.3311683043730885,0.20967741935483872,0.3311683043730885
1,AC,MEI,5,618000.0,62,8445940.91,0.08064516129032258,0.07317124362879304,0.08064516129032258,0.07317124362879304
2,AC,Empresa de Pequeno Porte (EPP),3,436793.89,62,8445940.91,0.04838709677419355,0.05171642741223014,0.04838709677419355,0.05171642741223014
3,AC,Administração Pública,2,184326.53000000003,62,8445940.91,0.03225806451612903,0.02182427416485442,0.03225806451612903,0.02182427416485442
4,AC,Entidades sem fins lucrativos,38,4145755.34,62,8445940.91,0.6129032258064516,0.4908577249328636,0.6129032258064516,0.4908577249328636
5,AC,Entidades Empresariais,1,264037.22,62,8445940.91,0.016129032258064516,0.03126202548817027,0.016129032258064516,0.03126202548817027
6,AL,Microempresa-ME,58,2905000.0,270,17971748.39,0.21481481481481482,0.16164259241557297,0.21481481481481482,0.16164259241557297
7,AL,MEI,100,2483800.0,270,17971748.39,0.37037037037037035,0.13820580758753878,0.37037037037037035,0.13820580758753878
8,AL,Empresa de Pequeno Porte (EPP),2,45000.0,270,17971748.39,0.007407407407407408,0.0025039300029951065,0.007407407407407408,0.0025039300029951065
9,AL,Administração Pública,1,55000.0,270,17971748.39,0.003703703703703704,0.0030603588925495746,0.003703703703703704,0.0030603588925495746
10,AL,Entidades sem fins lucrativos,106,12412948.39,270,17971748.39,0.3925925925925926,0.6906923088744623,0.3925925925925926,0.6906923088744623
11,AL,Entidades Empresariais,3,70000.0,270,17971748.39,0.011111111111111112,0.0038950022268812766,0.011111111111111112,0.0038950022268812766
12,AP,Microempresa-ME,11,1670000.0,63,13290298.32,0.1746031746031746,0.12565556918213705,0.1746031746031746,0.12565556918213705
13,AP,MEI,5,130000.0,63,13290298.32,0.07936507936507936,0.009781571253699292,0.07936507936507936,0.009781571253699292
14,AP,Empresa de Pequeno Porte (EPP),3,620000.0,63,13290298.32,0.047619047619047616,0.04665057059456586,0.047619047619047616,0.04665057059456586
15,AP,Administração Pública,0,0.0,63,13290298.32,0.0,0.0,0.0,0.0
16,AP,Entidades sem fins lucrativos,44,10870298.32,63,13290298.32,0.6984126984126984,0.8179122889695978,0.6984126984126984,0.8179122889695978
17,AP,Entidades Empresariais,0,0.0,63,13290298.32,0.0,0.0,0.0,0.0
18,AM,Microempresa-ME,19,1852000.0,107,17143336.950000003,0.17757009345794392,0.1080303097000027,0.17757009345794392,0.1080303097000027
19,AM,MEI,15,950000.0,107,17143336.950000003,0.14018691588785046,0.055415115666848036,0.14018691588785046,0.055415115666848036
20,AM,Empresa de Pequeno Porte (EPP),6,720510.5800000001,107,17143336.950000003,0.056074766355140186,0.04202860750514502,0.056074766355140186,0.04202860750514502
21,AM,Administração Pública,1,129812.84,107,17143336.950000003,0.009345794392523364,0.007572203730149513,0.009345794392523364,0.007572203730149513
22,AM,Entidades sem fins lucrativos,65,13441013.530000001,107,17143336.950000003,0.6074766355140186,0.7840371783627573,0.6074766355140186,0.7840371783627573
