,ranking_valor,cnae_principal,quantidade_contemplados,valor_transacao,perc_quantidade_contemplados,perc_valor_transacao,visao_cnae,total_quantidade_todos_cnaes,total_valor_todos_cnaes
0,1,Atividades de associações de defesa de direitos sociais,4461,267709798.14,0.13615969233586667,0.16611347486824954,CNAE geral,32763,1611607958.67
1,2,Atividades de organizações associativas ligadas à cultura e à arte,2772,225017805.96,0.08460763666330923,0.13962316626042157,CNAE geral,32763,1611607958.67
2,3,"Serviços de organização de feiras, congressos, exposições e festas",2459,102157429.76,0.07505417696792113,0.06338851158584916,CNAE geral,32763,1611607958.67
3,4,Produção musical,2590,85101546.4,0.0790525898116778,0.05280536494137888,CNAE geral,32763,1611607958.67
4,5,Produção teatral,1305,83962201.1,0.03983151726032415,0.052098403118641126,CNAE geral,32763,1611607958.67
5,6,Ensino de arte e cultura não especificado anteriormente,2473,77411099.92,0.07548148826420047,0.04803345596771841,CNAE geral,32763,1611607958.67
6,7,"Artes cênicas, espetáculos e atividades complementares não especificadas anteriormente",854,76273127.97,0.02606598907303971,0.04732734630632215,CNAE geral,32763,1611607958.67
7,8,"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",657,61864584.22,0.02005310868968043,0.038386869391644436,CNAE geral,32763,1611607958.67
8,9,Construção de edifícios,209,38946105.75,0.006379147208741568,0.024165992442815167,CNAE geral,32763,1611607958.67
9,10,Atividades associativas não especificadas anteriormente,644,36263570.92,0.019656319628849617,0.022501484138814365,CNAE geral,32763,1611607958.67
10,11,Pesquisa e desenvolvimento experimental em ciências sociais e humanas,24,24458586.32,0.000732533650764582,0.015176511252888549,CNAE geral,32763,1611607958.67
11,12,"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais",57,24430706.749999996,0.0017397674205658822,0.015159212027074964,CNAE geral,32763,1611607958.67
12,13,Serviços de arquitetura,99,18495996.53,0.003021701309403901,0.01147673441949496,CNAE geral,32763,1611607958.67
13,14,Atividades de museus e de exploração de lugares e prédios históricos e atrações similares,84,18204231.12,0.002563867777676037,0.01129569447834154,CNAE geral,32763,1611607958.67
14,15,"Ensino de artes cênicas, exceto dança",360,16746029.59,0.01098800476146873,0.01039088290667159,CNAE geral,32763,1611607958.67
15,16,Serviços de assistência social sem alojamento,244,15598432.84,0.007447425449439917,0.009678801073229252,CNAE geral,32763,1611607958.67
16,17,Outras atividades de ensino não especificadas anteriormente,440,15462464.65,0.01342978359735067,0.009594433042363848,CNAE geral,32763,1611607958.67
17,18,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",475,15009718.7,0.014498061838049019,0.009313504949669621,CNAE geral,32763,1611607958.67
18,19,"Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas",66,14729970.0,0.0020144675396026007,0.009139921356653076,CNAE geral,32763,1611607958.67
19,20,Atividades de organizações religiosas ou filosóficas,331,14601400.86,0.010102859933461527,0.009060144423740616,CNAE geral,32763,1611607958.67
