,ranking_valor,cnae_principal,quantidade_contemplados,valor_transacao,perc_quantidade_contemplados,perc_valor_transacao,visao_cnae,total_quantidade_todos_cnaes,total_valor_todos_cnaes
0,1,Atividades de organizações associativas ligadas à cultura e à arte,2736,222281615.9,0.08475836431226766,0.1396845237409214,CNAE cultural,32280,1591311692.5700002
1,2,Produção musical,2532,83379775.69,0.07843866171003717,0.05239688495931303,CNAE cultural,32280,1591311692.5700002
2,3,Produção teatral,1251,81944578.6,0.0387546468401487,0.05149498931140125,CNAE cultural,32280,1591311692.5700002
3,4,Ensino de arte e cultura não especificado anteriormente,2424,76208049.92,0.07509293680297398,0.04789008355548653,CNAE cultural,32280,1591311692.5700002
4,5,"Artes cênicas, espetáculos e atividades complementares não especificadas anteriormente",844,75254228.47,0.026146220570012393,0.04729069032884621,CNAE cultural,32280,1591311692.5700002
5,6,"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",638,60918084.22,0.01976456009913259,0.03828167951284017,CNAE cultural,32280,1591311692.5700002
6,7,Serviços de arquitetura,99,18495996.53,0.003066914498141264,0.011623113571250518,CNAE cultural,32280,1591311692.5700002
7,8,Atividades de museus e de exploração de lugares e prédios históricos e atrações similares,82,18051711.12,0.002540272614622057,0.011343919110432808,CNAE cultural,32280,1591311692.5700002
8,9,"Ensino de artes cênicas, exceto dança",346,16472144.85,0.010718711276332095,0.01035130007961995,CNAE cultural,32280,1591311692.5700002
9,10,"Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas",66,14729970.0,0.0020446096654275093,0.009256495800776027,CNAE cultural,32280,1591311692.5700002
10,11,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",463,14668718.7,0.014343246592317224,0.009218004724335134,CNAE cultural,32280,1591311692.5700002
11,12,Ensino de música,453,12108578.31,0.014033457249070631,0.007609180757318766,CNAE cultural,32280,1591311692.5700002
12,13,Edição de livros,226,12105082.7,0.007001239157372986,0.007606984072648928,CNAE cultural,32280,1591311692.5700002
13,14,Atividades de sonorização e de iluminação,378,9651763.65,0.01171003717472119,0.006065287960281502,CNAE cultural,32280,1591311692.5700002
14,15,Estúdios cinematográficos,80,8508388.8,0.0024783147459727386,0.00534677702660425,CNAE cultural,32280,1591311692.5700002
15,16,"Atividades de produção de fotografias, exceto aérea e submarina",307,8389387.05,0.009510532837670385,0.005271994851273274,CNAE cultural,32280,1591311692.5700002
16,17,Produção de espetáculos de dança,124,8372577.59,0.0038413878562577448,0.00526143157817066,CNAE cultural,32280,1591311692.5700002
17,18,Filmagem de festas e eventos,221,7271258.4,0.00684634448574969,0.004569348942730869,CNAE cultural,32280,1591311692.5700002
18,19,Outras atividades de recreação e lazer não especificadas anteriormente,227,6959562.27,0.007032218091697646,0.004373475229582564,CNAE cultural,32280,1591311692.5700002
19,20,Comércio varejista especializado de instrumentos musicais e acessórios,371,6032203.85,0.011493184634448575,0.003790711699137879,CNAE cultural,32280,1591311692.5700002
