,cbo_descricao_rais,soma_quantidade,percentual_quantidade,soma_valor,percentual_valor
0,ASSISTENTE ADMINISTRATIVO,4936,0.08202060485211034,47749655.98,0.07855991850338624
1,PROFESSOR DE NIVEL MEDIO NO ENSINO FUNDAMENTAL,2221,0.03690594882020605,26266309.39,0.04321453385815847
2,AUXILIAR DE ESCRITORIO EM GERAL,2604,0.04327018943170489,22148387.76,0.036439540802886375
3,DIRIGENTE DO SERVICO PUBLICO MUNICIPAL,2074,0.03446327683615819,21190394.39,0.03486340628360299
4,PROFESSOR DE NIVEL SUPERIOR DO ENSINO FUNDAMENTAL (PRIMEIRA A QUARTA SERIE),1841,0.03059155865736125,18610977.54,0.030619631676993535
5,PROFESSOR DE ENSINO SUPERIOR NA AREA DE DIDATICA,608,0.010103024260551678,14735358.62,0.02424328612524948
6,PROFESSOR DA  EDUCACAO DE JOVENS E ADULTOS DO ENSINO FUNDAMENTAL (PRIMEIRA A QUARTA SERIE),1399,0.023246925888999667,14248294.74,0.023441946347330038
7,VENDEDOR DE COMERCIO VAREJISTA,1604,0.026653373213692256,13283948.91,0.02185536047023781
8,PROFESSOR DE DISCIPLINAS PEDAGOGICAS NO ENSINO MEDIO,938,0.015586573612495845,12931757.28,0.021275918688249608
9,DIRIGENTE DO SERVICO PUBLICO ESTADUAL E DISTRITAL,824,0.013692256563642407,10441911.02,0.017179509714046963
10,SUPERVISOR ADMINISTRATIVO,947,0.01573612495845796,9992091.04,0.01643944530426784
11,EDUCADOR SOCIAL,656,0.010900631439016284,9322332.88,0.015337528538865046
12,FAXINEIRO,1488,0.02472582253240279,9073447.2,0.014928050431930632
13,PROFESSOR DE EDUCACAO ARTISTICA DO ENSINO FUNDAMENTAL,471,0.007826520438683949,7991543.44,0.013148052870278941
14,SECRETARIA(O)  EXECUTIVA(O),482,0.008009305417082087,6266267.93,0.010309550672100628
15,INSTRUTOR DE CURSOS LIVRES,420,0.006979062811565304,6133074.59,0.01009041489570935
16,RECEPCIONISTA EM GERAL,657,0.010917248255234296,5999292.49,0.00987031046443106
17,OPERADOR DE TELEMARKETING ATIVO E RECEPTIVO,371,0.006164838816882685,5989562.59,0.009854302387820701
18,TRABALHADOR DE SERVICOS DE LIMPEZA E CONSERVACAO DE AREAS PUBLICAS,916,0.015221003655699568,5417665.14,0.008913390539510995
19,PROFESSOR DE NIVEL SUPERIOR NA EDUCACAO INFANTIL (QUATRO A SEIS ANOS),447,0.007427716849451645,4811828.8,0.007916640876712904
20,VIGIA,626,0.010402126952475905,4342395.17,0.007144307192654627
21,PRODUTOR CULTURAL,331,0.00550016616816218,4182134.16,0.006880638447268404
22,VIGILANTE,609,0.010119641076769692,4088109.5,0.006725944775129646
23,ALIMENTADOR DE LINHA DE PRODUCAO,529,0.00879029577932868,4018070.91,0.006610714082686612
24,GERENTE ADMINISTRATIVO,372,0.0061814556331006975,4016679.98,0.006608425661017361
25,ADMINISTRADOR,293,0.0048687271518777,4004823.08,0.0065889181466995
26,COORDENADOR PEDAGOGICO,345,0.005732801595214357,3878730.87,0.006381465474251747
27,PROFESSORES DE CURSOS LIVRES,272,0.004519774011299435,3836973.35,0.006312764091995138
28,ENTREVISTADOR CENSITARIO E DE PESQUISAS AMOSTRAIS,431,0.007161847789963443,3836846.9899999998,0.00631255619874233
29,AGENTE COMUNITARIO DE SAUDE,577,0.009587902957793286,3729484.47,0.006135918469141705
30,INSPETOR DE ALUNOS DE ESCOLA PUBLICA,379,0.006297773346626787,3696470.5,0.0060816023753512164
31,ORIENTADOR EDUCACIONAL,367,0.006098371552010635,3652689.62,0.006009572068656501
32,PROFESSOR DE ENSINO SUPERIOR NA AREA DE PRATICA DE ENSINO,187,0.0031073446327683617,3618739.89,0.0059537164197042015
33,AUXILIAR DE DESENVOLVIMENTO INFANTIL,388,0.0064473246925889,3614001.82,0.005945921130179618
34,RECREADOR,291,0.004835493519441675,3349399.61,0.005510585469078256
35,PROFESSOR DE NIVEL MEDIO NA EDUCACAO INFANTIL,358,0.005948820206048521,3325250.5,0.005470854248515664
36,PORTEIRO DE EDIFICIOS,393,0.0065304087736789635,3278143.32,0.005393351360887019
37,PROFESSOR DE TECNOLOGIA E CALCULO TECNICO,205,0.0034064473246925887,3247941.3,0.005343661615879612
38,SERVENTE DE OBRAS,579,0.009621136590229312,3181476.58,0.005234310817860514
39,OPERADOR DE CAIXA,461,0.007660352276503822,3034718.64,0.0049928579409863035
40,PROFESSOR DE ENSINO SUPERIOR NA AREA DE ORIENTACAO EDUCACIONAL,285,0.004735792622133599,2990520.86,0.0049201417313389515
41,PROFESSOR DE ARTES NO ENSINO MEDIO,226,0.0037554004652708543,2987877.34,0.004915792491297326
42,DIRETOR ADMINISTRATIVO,322,0.005350614822200067,2974253.98,0.004893378716174201
43,PROFESSOR DE DANCA,160,0.0026586905948820204,2857820.55,0.004701817110459158
44,ATENDENTE DE LOJAS E MERCADOS,346,0.005749418411432369,2823617.8,0.00464554518142752
45,COZINHEIRO GERAL,414,0.006879361914257229,2823368.71,0.004645135367163974
46,ASSISTENTE SOCIAL,241,0.004004652708541044,2587984.9,0.004257871154446675
47,ANALISTA DE PESQUISA DE MERCADO,103,0.0017115320704553009,2510958.17,0.004131143254377261
48,TRABALHADOR DA MANUTENCAO DE EDIFICACOES,331,0.00550016616816218,2504937.08,0.00412123708165217
49,TECNICO DE ENFERMAGEM,364,0.006048521103356597,2420465.0,0.0039822597511476095
50,PROFESSOR DE LINGUA PORTUGUESA DO ENSINO FUNDAMENTAL,150,0.0024925224327018943,2300897.05,0.0037855410897283245
51,PEDAGOGO,148,0.002459288800265869,2250047.37,0.00370188086988514
52,PROFESSOR DE EDUCACAO FISICA DO ENSINO FUNDAMENTAL,156,0.00259222333000997,2195530.38,0.003612187023855258
53,AGENTE DE ACAO SOCIAL,177,0.0029411764705882353,2160137.71,0.003553957384002317
54,ZELADOR DE EDIFICIO,271,0.004503157195081422,2153922.83,0.003543732379103584
55,BIBLIOTECARIO,59,0.000980392156862745,2099805.88,0.0034546966971830155
56,ATENDENTE DE LANCHONETE,183,0.003040877367896311,2058498.73,0.0033867362842542534
57,MOTORISTA DE CARRO DE PASSEIO,358,0.005948820206048521,2044108.23,0.003363060375307464
58,DESENHISTA INDUSTRIAL GRAFICO (DESIGNER GRAFICO),138,0.0022931206380857427,1951192.99,0.0032101919717072384
59,MUSICO INTERPRETE INSTRUMENTISTA,174,0.0028913260219341976,1928475.98,0.003172816907581371
60,GERENTE DE SERVICOS CULTURAIS,92,0.0015287470920571618,1826438.76,0.0030049406051663417
61,ALMOXARIFE,209,0.0034729145895646394,1814741.95,0.0029856964782403912
62,REPOSITOR DE MERCADORIAS,321,0.005333998005982054,1808743.06,0.0029758268299709214
63,MOTORISTA DE CAMINHAO (ROTAS REGIONAIS E INTERNACIONAIS),313,0.005201063476237952,1800225.51,0.00296181336704401
64,AUXILIAR NOS SERVICOS DE ALIMENTACAO,247,0.004104353605849119,1778268.36,0.002925688459352756
65,MUSICO REGENTE,147,0.0024426719840478566,1732154.68,0.002849820123375454
66,FRENTISTA,226,0.0037554004652708543,1726912.59,0.0028411955970886068
67,DIRIGENTE DO SERVICO PUBLICO FEDERAL,122,0.002027251578597541,1707631.68,0.0028094737618798763
68,PROMOTOR DE VENDAS,151,0.002509139248919907,1707254.65,0.002808853454875241
69,PSICOLOGO CLINICO,100,0.001661681621801263,1676004.29,0.0027574389329396323
70,PROFESSOR DE CIENCIAS EXATAS E NATURAIS DO ENSINO FUNDAMENTAL,151,0.002509139248919907,1671137.72,0.00274943222933634
71,ASSESSOR DE IMPRENSA,177,0.0029411764705882353,1640820.02,0.0026995521623007215
72,PROFESSOR DE LINGUA PORTUGUESA,78,0.001296111665004985,1592768.8,0.0026204960968754672
73,RECEPCIONISTA DE HOTEL,55,0.0009139248919906946,1542262.47,0.0025374007721601006
74,SECRETARIO - EXECUTIVO,150,0.0024925224327018943,1473067.17,0.0024235574990044946
75,ASSISTENTE DE VENDAS,135,0.002243270189431705,1447174.3699999999,0.002380957479882336
76,PEDREIRO,244,0.004054503157195082,1436996.37,0.002364212168651982
77,AUXILIAR DE LOGISTICA,128,0.0021269524759056167,1433772.48,0.002358908077335178
78,GARCOM,128,0.0021269524759056167,1426036.94,0.002346181213036214
79,TECNICO EM ADMINISTRACAO,105,0.001744765702891326,1411772.59,0.0023227128518406243
80,ANALISTA DE NEGOCIOS,119,0.0019774011299435027,1362784.05,0.0022421146646701903
81,ANALISTA DE DESENVOLVIMENTO DE SISTEMAS,85,0.0014124293785310734,1338060.11,0.0022014377074938674
82,AGENTE DE SAUDE PUBLICA,154,0.002558989697573945,1330242.37,0.0021885756039943596
83,DIRETOR DE INSTITUICAO EDUCACIONAL PUBLICA,123,0.0020438683948155534,1272819.67,0.002094101150939998
84,ENFERMEIRO,143,0.002376204719175806,1252304.51,0.0020603486711659245
85,PROFESSOR DE MUSICA NO ENSINO SUPERIOR,119,0.0019774011299435027,1240146.71,0.002040346102402277
86,PROFESSOR DE HISTORIA NO ENSINO MEDIO,69,0.0011465603190428714,1182770.97,0.0019459489100882752
87,JORNALISTA,76,0.0012628780325689597,1169978.67,0.001924902432897072
88,GERENTE DE SERVICOS SOCIAIS,90,0.0014955134596211367,1158983.6,0.0019068128407228205
89,EDITOR DE TV  E VIDEO,73,0.0012130275839149218,1153591.89,0.0018979421527670513
90,SUPERVISOR DE ENSINO,122,0.002027251578597541,1144948.3499999999,0.0018837214053282598
91,TECNICO EM SECRETARIADO,94,0.0015619807244931872,1137336.2,0.0018711975479022288
92,AUXILIAR DE CONTABILIDADE,108,0.001794616151545364,1083251.16,0.001782214365773502
93,CABO DA POLICIA MILITAR,61,0.0010136257892987704,1081780.7,0.0017797950977098563
