,uf,codigo_uf,unidade_da_federacao,populacao_ibge_2024,total_vinculos_a_rais_2024,percentual_populacao_com_vinculo_rais_2024,numero_contemplados_sem_vinculo_trabalho_formal,numero_contemplados_com_vinculo_trabalho_formal,numero_contemplados_total,percentual_contemplados_sem_vinculo_trabalho_formal,percentual_contemplados_com_vinculo_trabalho_formal,diferenca_pp_contemplados_com_vinculo_vs_populacao_uf,razao_contemplados_com_vinculo_vs_populacao_uf,percentual_numero_contemplados_no_total_geral,percentual_numero_contemplados_sem_vinculo_no_total_geral,percentual_numero_contemplados_com_vinculo_no_total_geral,valor_pago_sem_vinculo_trabalho_formal,valor_pago_com_vinculo_trabalho_formal,valor_pago_total,percentual_valor_pago_sem_vinculo_trabalho_formal,percentual_valor_pago_com_vinculo_trabalho_formal,percentual_valor_pago_no_total_geral,percentual_valor_pago_sem_vinculo_no_total_geral,percentual_valor_pago_com_vinculo_no_total_geral
0,AC,12,Acre,880631,180093,0.2045044973433822,414.0,544.0,958.0,0.4321503131524008,0.5678496868475992,0.363345189504217,2.776710019702532,0.0070934589127312035,0.005528993829963407,0.00904014889657006,6029226.36,8393534.76,14422761.120000001,0.4180355141318461,0.5819644858681539,0.01142098751648189,0.009236097284518885,0.013758986154930354
1,AL,27,Alagoas,3220104,636259,0.19758958095763365,2943.0,2743.0,5686.0,0.5175870559268378,0.48241294407316215,0.28482336311552847,2.4414897877464456,0.042101677847379566,0.03930393439995726,0.045582956660462644,15522910.73,17571027.77,33093938.5,0.4690560094562332,0.5309439905437667,0.026206178923368274,0.02377935494217902,0.028803065064726886
2,AM,13,Amazonas,4281209,801349,0.18717820129781096,830.0,875.0,1705.0,0.4868035190615836,0.5131964809384164,0.3260182796406055,2.74175345943138,0.012624579797710546,0.011084697775047411,0.014540680670034565,22207375.41,20924331.919999998,43131707.33,0.514873553232932,0.48512644676706795,0.03415481175080853,0.0340192037043692,0.034299922669105296
3,AP,16,Amapá,802837,154926,0.19297316889978913,228.0,297.0,525.0,0.4342857142857143,0.5657142857142857,0.3727411168144966,2.931569652608342,0.003887333955306766,0.0030449531237479632,0.0049355224674288755,2267715.5,2983510.95,5251226.45,0.4318449264361852,0.5681550735638148,0.0041583016755719175,0.003473885324751911,0.004890679198680427
4,BA,29,Bahia,14850513,2774157,0.1868054659121877,8977.0,6769.0,15746.0,0.5701130445827511,0.4298869554172488,0.24308148950506112,2.3012546946529246,0.11659040087668636,0.1198883517187959,0.11248670566338739,54878261.71,49844433.0,104722694.71000001,0.5240340869948953,0.47596591300510466,0.08292701924576104,0.0840673303164633,0.08170679971632758
5,CE,23,Ceará,9233656,1871093,0.20263836989378856,4271.0,3147.0,7418.0,0.5757616608250202,0.4242383391749798,0.22159996928119122,2.0935735882465956,0.05492617767707732,0.05703945084003312,0.05229659664982717,38868061.77,36801043.89,75669105.66,0.5136582682058357,0.48634173179416434,0.05992028183340036,0.05954150306083536,0.060325603913921756
6,DF,53,Distrito Federal,2982818,1707305,0.5723798770156275,174.0,121.0,295.0,0.5898305084745763,0.4101694915254237,-0.16221038549020383,0.7166036193725674,0.002184311460600945,0.0023237800154918666,0.0020107684126562083,5995132.44,3743567.14,9738699.58,0.6155988682833977,0.38440113171660234,0.007711808120825856,0.009183869230183469,0.0061365908311687535
7,ES,32,Espírito Santo,4102129,1101019,0.2684018469433799,418.0,508.0,926.0,0.4514038876889849,0.5485961123110151,0.28019426536763525,2.0439356828522235,0.00685651665259822,0.005582414060204599,0.008441903749002925,6648941.86,7627382.16,14276324.02,0.46573206454864424,0.5342679354513558,0.01130502800795681,0.01018543179361903,0.012503081066385289
8,GO,52,Goiás,7350483,1950312,0.265331135382532,1833.0,1714.0,3547.0,0.5167747392162391,0.48322526078376093,0.21789412540122893,1.8212158180648026,0.02626356864661543,0.02447982050802639,0.028483116192501993,33153113.39,30273027.51,63426140.900000006,0.5227042496921013,0.47729575030789867,0.050225415051283986,0.05078684432652909,0.04962464304823058
9,MA,21,Maranhão,7010960,977685,0.13945094537695266,4551.0,2913.0,7464.0,0.6097266881028939,0.3902733118971061,0.25082236652015344,2.79864228128501,0.055266782176018485,0.06077886695691658,0.048408003190640786,23193784.49,21275349.84,44469134.33,0.5215704069677131,0.47842959303228694,0.03521388337683889,0.03553027157298589,0.0348753239558705
10,MG,31,Minas Gerais,21322691,6094585,0.2858262589839153,9276.0,8014.0,17290.0,0.5364950838635049,0.4635049161364951,0.1776786571525798,1.621631678573586,0.12802286492810283,0.12388151392932503,0.13317601701675086,81094587.08,80959111.63,162053698.70999998,0.5004179955504825,0.4995820044495176,0.12832586316638842,0.12422779487727977,0.1327111077613064
11,MS,50,Mato Grosso do Sul,2901895,831160,0.286419736069017,889.0,927.0,1816.0,0.4895374449339207,0.5104625550660793,0.2240428189970623,1.7822185093525675,0.013446473262546834,0.011872646171104997,0.015404812549853762,11877928.23,12344619.96,24222548.19,0.4903665847552598,0.5096334152447402,0.01918116913908722,0.01819565133574006,0.02023574810542834
