,uf,regiao,total_vinculos_a_rais_2024,populacao_ibge_2024,numero_contemplados_sem_vinculo_trabalho_formal,numero_contemplados_com_vinculo_trabalho_formal,percentual_contemplados_com_vinculo_trabalho_formal,percentual_numero_contemplados_com_vinculo_no_total_geral,percentual_vinculos_rais_no_total_brasil
0,AC,Norte,180093,880631,412,546,0.569937369519833,0.009032556908417151,0.003116360566791982
1,AL,Nordeste,636259,3220104,2933,2753,0.4841716496658459,0.045543276866066705,0.011009936298837267
2,AM,Norte,801349,4281209,826,879,0.5155425219941349,0.01454142403388036,0.013866682346555326
3,AP,Norte,154926,802837,207,318,0.6057142857142858,0.0052607199576495504,0.002680866425518008
4,BA,Nordeste,2774157,14850513,8970,6776,0.4303315127651467,0.11209634727368978,0.04800449479374515
5,CE,Nordeste,1871093,9233656,4233,3185,0.42936101375033703,0.052689915299100054,0.03237771841215656
6,DF,Centro-Oeste,1707305,2982818,174,121,0.4101694915254237,0.0020017204870301747,0.029543502398687263
7,ES,Sudeste,1101019,4102129,415,511,0.5518358531317494,0.008453546850185283,0.01905222410026343
8,GO,Centro-Oeste,1950312,7350483,1832,1715,0.4835071891739498,0.028371492853361567,0.033748537754055986
9,MA,Nordeste,977685,7010960,4546,2918,0.3909431939978564,0.04827289571201694,0.016918031132492763
10,MG,Sudeste,6094585,21322691,9246,8044,0.46524002313476,0.13307305452620435,0.10546175789709714
11,MS,Centro-Oeste,831160,2901895,888,928,0.5110132158590308,0.015352038115404976,0.01438253707081799
12,MT,Centro-Oeste,1209870,3836399,814,983,0.5470228158041179,0.016261911064055057,0.02093580071932066
13,PA,Norte,1445663,8664306,3798,3052,0.44554744525547446,0.05048967707781895,0.025016003765111344
14,PB,Nordeste,811007,4145040,5494,3784,0.40784651864626,0.06259925886712546,0.014033806056827669
15,PE,Nordeste,1919501,9539029,7183,4879,0.40449345050572044,0.0807140021175225,0.03321537885602315
16,PI,Nordeste,568830,3375646,3541,1753,0.33112958065734793,0.02900013234515617,0.009843133165688191
17,PR,Sul,3717135,11824665,1996,1900,0.48767967145790553,0.031431974589730016,0.06432194996719648
18,RJ,Sudeste,4744216,17219679,2167,1814,0.45566440592815877,0.03000926416093171,0.08209473806724077
19,RN,Nordeste,709350,3446071,2829,1958,0.4090244411949029,0.03239147697194283,0.01227471566387307
20,RO,Norte,413955,1746227,202,269,0.5711252653927813,0.004450105876124934,0.007163149253032461
21,RR,Norte,148049,716793,284,477,0.6268068331143233,0.007891079936474326,0.0025618656225005203
22,RS,Sul,3287525,11229915,1867,1623,0.4650429799426934,0.026849523557437797,0.05688790387379194
23,SC,Sul,2863776,8058441,1432,1503,0.5120954003407155,0.024864346214928532,0.049555277542854395
24,SE,Nordeste,467807,2291077,1451,1230,0.4587840358075345,0.020348067760719957,0.008095013618903883
25,SP,Sudeste,15994587,45973194,5980,5583,0.48283317478163107,0.09236037586024351,0.27677311283016925
26,TO,Norte,408312,1577342,886,946,0.5163755458515283,0.015649814716781365,0.007065501800447368
