sexo;raca_cor;total_vinculos_ativos;perc_brasil
Masculino;Indígena;108.196;0,19%
Masculino;Branca;13.585.558;23,51%
Masculino;Preta;2.433.132;4,21%
Masculino;Amarela;287.042;0,50%
Masculino;Parda;13.895.998;24,05%
Masculino;Não identificado;1.446.186;2,50%
Masculino;Ignorado;0;0,00%
Masculino;Ignorado/Outro;0;0,00%
Feminino;Indígena;85.029;0,15%
Feminino;Branca;12.429.231;21,51%
Feminino;Preta;1.703.723;2,95%
Feminino;Amarela;293.826;0,51%
Feminino;Parda;10.250.794;17,74%
Feminino;Não identificado;1.270.811;2,20%
Feminino;Ignorado;0;0,00%
Feminino;Ignorado/Outro;0;0,00%
Ignorado/Outro;Indígena;0;0,00%
Ignorado/Outro;Branca;0;0,00%
Ignorado/Outro;Preta;0;0,00%
Ignorado/Outro;Amarela;0;0,00%
Ignorado/Outro;Parda;0;0,00%
Ignorado/Outro;Não identificado;0;0,00%
Ignorado/Outro;Ignorado;0;0,00%
Ignorado/Outro;Ignorado/Outro;0;0,00%
Masculino;TOTAL;31.756.112;54,95%
Feminino;TOTAL;26.033.414;45,05%
Ignorado/Outro;TOTAL;0;0,00%
TOTAL;TOTAL;57.789.526;100,00%
