,uf,qtd_contemplados_cadunico,qtd_contemplados_total_uf,perc_qtd_cadunico_na_uf,perc_qtd_cadunico_brasil,perc_qtd_total_brasil,valor_contemplados_cadunico,valor_contemplados_total_uf,perc_valor_cadunico_brasil,perc_valor_total_brasil
0,BA,8634,15746,0.5483297345357551,0.14762254860054372,0.11659040087668636,43245044.87,104722694.71,0.11778229231508129,0.08292701924576101
1,PE,6224,12062,0.516000663239927,0.10641681057328979,0.0893124231788766,34869304.64,92429310.59,0.09497010915997925,0.07319222676035123
2,MG,5790,17290,0.33487565066512437,0.09899635816506232,0.12802286492810283,40741509.63,162053698.71,0.11096365863473227,0.12832586316638842
3,PB,5292,9278,0.5703815477473594,0.09048164549387043,0.068698446547307,18514005.58,44521802.91,0.05042478331799234,0.03525559017553616
4,CE,3936,7418,0.5306012402264761,0.0672970061723118,0.05492617767707732,28733590.85,75669105.66,0.07825886658067527,0.05992028183340035
5,MA,3893,7464,0.5215702036441586,0.06656180005813257,0.055266782176018485,17397799.21,44469134.33,0.047384681374509366,0.03521388337683888
6,PA,3471,6850,0.5067153284671533,0.05934652144921094,0.050720452559716855,20955312.97,51903775.13,0.05707393309929879,0.041101170773465125
7,PI,3187,5294,0.6020022667170382,0.054490741532306326,0.03919913516075051,8123633.39,18821684.59,0.022125544452037352,0.014904373923482794
8,AL,2778,5686,0.4885684136475554,0.047497734539299334,0.042101677847379566,11446161.39,33093938.5,0.03117478848213246,0.026206178923368267
9,RN,2774,4787,0.5794861082097347,0.04742934327286406,0.03544508122676855,12845543.63,28243213.7,0.03498614880208796,0.022365023479847403
10,SP,2148,11563,0.18576493989449105,0.03672611007574333,0.08561760480992787,27637577.72,180412790.1,0.07527376298679785,0.14286392226856537
11,SE,1392,2681,0.5192092502797464,0.023800160719476122,0.019851318731766553,6526604.7,18077648.53,0.01777587385817837,0.01431519224860303
12,GO,1299,3547,0.36622497885537075,0.022210063774855952,0.02626356864661543,12047936.93,63426140.9,0.03281378556892969,0.05022541505128397
13,RJ,1191,3981,0.29917106254709874,0.020363499581103492,0.029477098049669023,10580661.64,41286489.31,0.028817511599669374,0.03269363439397192
14,RS,954,3490,0.273352435530086,0.016311317044813377,0.025841515245753552,6744989.81,27328160.31,0.01837066798871065,0.021640417888924016
15,PR,888,3896,0.22792607802874743,0.01518286114863132,0.028847720171190784,13160766.93,65970345.41,0.03584469162420169,0.05224010056859405
16,TO,886,1832,0.4836244541484716,0.015148665515413681,0.013564944392613324,6000792.0,18304108.81,0.016343769317171283,0.01449451991057702
17,MS,708,1816,0.3898678414096916,0.01210525415904389,0.013446473262546834,7058374.12,24222548.19,0.019224202133913633,0.019181169139087215
18,AM,656,1705,0.3847507331378299,0.011216167695385299,0.012624579797710546,13538897.88,43131707.33,0.03687456985002302,0.03415481175080852
19,MT,593,1797,0.3299944351697273,0.0101390052490297,0.013305788795592874,5490952.19,23348848.06,0.014955168571911252,0.018489310056429217
20,SC,414,2935,0.14105621805792162,0.007078496076051088,0.02173204792157211,4836691.04,38375098.02,0.0131732215707842,0.030388183773107435
21,AC,373,958,0.3893528183716075,0.006377485595089507,0.0070934589127312035,5163896.34,14422761.12,0.014064398592509969,0.011420987516481887
22,ES,265,926,0.2861771058315335,0.004530921401337049,0.00685651665259822,3643462.06,14276324.02,0.009923340689779896,0.011305028007956809
23,AP,237,525,0.4514285714285714,0.004052182536290116,0.003887333955306766,1893796.27,5251226.45,0.005157947379379159,0.0041583016755719175
24,RR,230,761,0.30223390275952694,0.003932497820028382,0.005634783123787522,3048852.99,12791199.51,0.008303862215275572,0.010128998789417601
25,RO,141,471,0.29936305732484075,0.0024107921418434868,0.003487493891332356,1649270.01,6537147.53,0.004491955159447082,0.005176587181354523
26,DF,133,295,0.45084745762711864,0.002274009608972934,0.002184311460600945,1265406.85,9738699.58,0.0034464646747909885,0.007711808120825855
