,codigo_uf,uf,unidade_da_federacao,populacao_ibge_2024,qtd_pessoas_cadunico_uf,qtd_contemplados_cadunico,perc_qtd_cadunico_brasil,perc_qtd_contemplados_cadunico,perc_populacao_uf_no_cadunico,perc_cadunico_uf_contemplado_pnab,razao_representacao_pnab_cadunico
0,29,BA,Bahia,14850513,9426922,8629,0.09745744882841986,0.1477391408564042,0.6347876332622314,0.0009153571017135816,1.515934827275322
1,26,PE,Pernambuco,9539029,5810408,6224,0.060069186987252186,0.1065625695550191,0.6091194397249448,0.0010711812320236375,1.7739972005553144
2,31,MG,Minas Gerais,21322691,8835783,5790,0.09134613287152711,0.09913195336175458,0.4143840474919418,0.0006552899726034467,1.085234264937934
3,25,PB,Paraíba,4145040,2568796,5292,0.026556738744698386,0.09060557809851559,0.6197276745218382,0.002060109093910143,3.4117735227034793
4,23,CE,Ceará,9233656,5745101,3935,0.05939402985636284,0.06737206156796274,0.6221913616881547,0.0006849313876292167,1.1343237987200698
5,21,MA,Maranhão,7010960,4633794,3893,0.04790511066458797,0.06665296967829198,0.6609357349064893,0.0008401322976377457,1.3913540487354026
6,15,PA,Pará,8664306,5601544,3471,0.05790990821183651,0.059427808310647694,0.6465080988598509,0.0006196505820538051,1.0262114057107232
7,22,PI,Piauí,3375646,2222147,3187,0.022973010441979545,0.0545653774376359,0.6582879247409237,0.001434198547620837,2.3751949086274866
8,27,AL,Alagoas,3220104,2046130,2778,0.02115331067460776,0.04756279213108018,0.6354235763813839,0.001357684995577016,2.248479817779735
9,24,RN,Rio Grande do Norte,3446071,2035308,2774,0.021041430623916647,0.047494307189206775,0.5906169663944822,0.0013629386805338554,2.25718051391537
10,35,SP,São Paulo,45973194,14214700,2146,0.14695447759738967,0.036742171315082096,0.30919539764846443,0.00015097047422738433,0.2500241701770014
11,28,SE,Sergipe,2291077,1416112,1392,0.014640055659239707,0.023832759771945145,0.6180988242647454,0.000982973098173026,1.6279145603455196
12,52,GO,Goiás,7350483,3332959,1289,0.03445681222245409,0.02206927251870495,0.453434012431564,0.0003867434312873336,0.6404908375222044
13,33,RJ,Rio de Janeiro,17219679,6939360,1190,0.07174052380002546,0.02037427020733816,0.40299009058182794,0.00017148555486384912,0.28399946262074727
14,43,RS,Rio Grande do Sul,11229915,3733440,952,0.0385970667577366,0.01629941616587053,0.33245487610547364,0.0002549927144938716,0.42229675814946194
15,41,PR,Paraná,11824665,4409296,888,0.04558420439771925,0.01520365709589604,0.37288971822880396,0.00020139269398107999,0.3335290655343046
16,17,TO,Tocantins,1577342,916427,886,0.009474209870144499,0.015169414624959337,0.5809944831241417,0.0009667982283367906,1.6011271475800626
17,50,MS,Mato Grosso do Sul,2901895,1426684,708,0.01474935115876904,0.012121834711592788,0.49163873951331805,0.0004962556529687022,0.8218554552744447
18,13,AM,Amazonas,4281209,2716758,656,0.028086400180695276,0.011231530467238515,0.6345772887985613,0.00024146427469800403,0.3998921326684764
19,51,MT,Mato Grosso,3836399,1730035,593,0.01788545587667696,0.010152892632732379,0.45095283363383215,0.0003427676318687194,0.5676619429070288
20,42,SC,Santa Catarina,8058441,1822770,394,0.01884416928462746,0.0067457667745304505,0.22619387546549016,0.0002161545340333668,0.357976341256574
21,12,AC,Acre,880631,571102,373,0.0059041693503784414,0.006386220829695071,0.6485145310578437,0.0006531232599430575,1.0816459438592714
22,32,ES,Espírito Santo,4102129,1801725,265,0.01862660176782886,0.00453712739911312,0.4392170504633082,0.00014708126933910557,0.2435832072680842
23,16,AP,Amapá,802837,525802,237,0.0054358486798639916,0.004057732805999281,0.6549299546483284,0.00045074001240010496,0.7464764096598818
24,14,RR,Roraima,716793,412078,191,0.004260146694575133,0.0032701559744551167,0.574891216850611,0.00046350448216114423,0.7676158144082997
25,11,RO,Rondônia,1746227,873792,141,0.00903344051501462,0.0024140942010375467,0.5003885520038346,0.00016136563392660954,0.2672397296495221
26,53,DF,Distrito Federal,2982818,959621,133,0.009920758281672118,0.0022771243172907355,0.32171624282809075,0.00013859638336384886,0.22953127700909293
