Categorização Nivel 0;Categorização Domínios;valor_estimado;p025;p975;valor_estimado_pct
Ação Cultural - Fomento Cultural;Festivais, feiras e mercados;158614797.13450465;149161300.32894474;169371942.34932593;21.76313964440911
Ação Cultural - Fomento Cultural;Artes Cênicas;127425208.79358228;122000963.93898699;133257928.5632435;17.48369422835803
Ação Cultural - Fomento Cultural;Audiovisual;92275899.5667532;85725320.85364704;101119626.3119261;12.66094541218474
Ação Cultural - Fomento Cultural;Educação Artística e Cultural;91617925.73238362;85885151.34782955;99672936.93380287;12.57066646785895
Ação Cultural - Fomento Cultural;Música;51439950.66164708;48316352.23522721;54907164.42571943;7.057946987137735
Ação Cultural - Fomento Cultural;Festas e Festejos;50122011.09936199;45682958.41166799;54676924.418784104;6.877115795754128
Ação Cultural - Fomento Cultural;Culturas tradicionais e populares;35403522.633489646;32904288.739192244;38191035.78628836;4.857628801953831
Ação Cultural - Fomento Cultural;Artes Visuais;34446381.76581811;32097362.355642453;36922648.402605;4.726301897157915
Ação Cultural - Fomento Cultural;Outros;24531746.00884297;20995902.168478694;28376570.159421556;3.365939519872732
Ação Cultural - Fomento Cultural;Livro, leitura e literatura;22232160.994887393;20389429.53314028;24115211.643543024;3.050419211004785
Ação Cultural - Fomento Cultural;Patrimônio Cultural e Memória;19107887.67743686;15199133.22356801;25489485.91860013;2.621745482428764
Ação Cultural - Fomento Cultural;Governança e Gestão Cultural;7144238.487302954;5864274.009797558;8551672.875824476;0.9802430962370366
Ação Cultural - Fomento Cultural;Culturas Afro-brasileiras;6285000.691408833;5238260.186696551;7443360.431163079;0.8623492270796668
Ação Cultural - Fomento Cultural;Culturas dos Povos Indígenas;4733566.147770653;3760367.3182909586;5860361.109300893;0.6494807732384654
Ação Cultural - Fomento Cultural;Arquitetura, Design e Serviços Criativos;3442839.919247615;2721695.147576788;4261084.5057213595;0.4723834553241225
