 nivel_0 ; nivel_2 ; valor_estimado ; p025 ; p975 ; valor_estimado_pct 
 Obras, Reformas e Aquisição de Bens Culturais ; Aquisicao de Bens e Servicos ; R$ 52,152,596.24 ; R$ 47,494,322.25 ; R$ 57,080,785.25 ;51.1%
 Obras, Reformas e Aquisição de Bens Culturais ; Obras e Reformas ; R$ 49,667,135.42 ; R$ 43,473,907.53 ; R$ 55,945,415.99 ;48.7%
 Obras, Reformas e Aquisição de Bens Culturais ; Aquisição de imóveis tombados ; R$ 226,944.90 ; R$ 45,836.68 ; R$ 478,083.39 ;0.2%
 Operacionalização da Política ; Consultoria ; R$ 15,207,071.68 ; R$ 13,654,794.10 ; R$ 17,019,335.30 ;36.2%
 Operacionalização da Política ; Pareceristas ; R$ 13,678,509.81 ; R$ 11,179,524.76 ; R$ 16,742,132.30 ;32.5%
 Operacionalização da Política ; Apoio Adm ; R$ 7,740,905.72 ; R$ 6,098,231.03 ; R$ 9,599,346.10 ;18.4%
 Operacionalização da Política ; Outros ; R$ 2,896,840.50 ; R$ 2,040,210.31 ; R$ 3,905,975.23 ;6.9%
 Operacionalização da Política ; Serviços Digitais ; R$ 1,575,577.19 ; R$ 756,446.27 ; R$ 2,766,431.66 ;3.7%
 Operacionalização da Política ; Fortalecimento Sistemas de Cultura ; R$ 541,301.17 ; R$ 299,166.27 ; R$ 849,951.30 ;1.3%
 Operacionalização da Política ; Comissão ; R$ 424,609.31 ; R$ 251,114.38 ; R$ 642,687.14 ;1.0%
