Categorização Nivel 0;regiao;valor_estimado;p025;p975;valor_estimado_pct;p025_pct;p975_pct
Ação Cultural - Fomento Cultural;Centro-Oeste;68012768.32670502;58355851.33972217;79095904.3395317;86.99984314878535;74.6470117049509;101.17705014146077
Bolsa - Fomento Cultural;Centro-Oeste;757226.8570439254;249833.7223459302;1473116.9256291515;0.9686213252549252;0.31957962000553847;1.8843659010308957
Premiação - Fomento Cultural;Centro-Oeste;9405741.536133394;8503274.858166467;10375194.486413628;12.031535525959736;10.877127885132984;13.271629947780097
Ação Cultural - Fomento Cultural;Nordeste;211950297.8361576;202258899.70201448;222209178.93741512;76.2184062040393;72.73333009320415;79.90755207907377
Bolsa - Fomento Cultural;Nordeste;1381069.166306278;1146011.390166691;1642850.730283033;0.4966395036386144;0.41211153058960065;0.5907774868526452
Premiação - Fomento Cultural;Nordeste;64751458.90806404;62350202.52856444;67339557.54661459;23.284954292322094;22.4214502727419;24.215647739526656
Ação Cultural - Fomento Cultural;Norte;56683539.03741843;51962544.38868028;61830091.35005633;69.16739676957833;63.40666066238555;75.44741442282734
Bolsa - Fomento Cultural;Norte;573470.2784260132;438984.26246900926;715482.8972128407;0.6997701088717891;0.5356651891080924;0.8730592738872476
Premiação - Fomento Cultural;Norte;24694230.263479095;21443439.38203576;29129991.393699434;30.132833121549872;26.16609521968229;35.545516508634954
Ação Cultural - Fomento Cultural;Sudeste;284803205.96939003;274872646.9086953;296100008.43815523;80.7289635695425;77.91409448157943;83.93110152248143
Bolsa - Fomento Cultural;Sudeste;4434014.045002125;3888351.810259101;5051577.638950331;1.2568445537241892;1.1021737292862817;1.4318961958151804
Premiação - Fomento Cultural;Sudeste;63552154.92171916;60896981.049617946;66224116.88296056;18.014191876733303;17.261568906559653;18.771573518888847
Ação Cultural - Fomento Cultural;Sul;108092132.57055084;103253293.39153793;112820798.19591907;78.07774701006076;74.58252814207562;81.49338466668387
Bolsa - Fomento Cultural;Sul;2593154.257003955;2043188.2602812047;3182537.150019734;1.8731024841633865;1.475847800264647;2.298829013177034
Premiação - Fomento Cultural;Sul;27756377.67977605;26138261.616432976;29507035.471040346;20.049150505775867;18.880343362997408;21.313695971546103
Ação Cultural - Fomento Cultural;Todo o Brasil;729541943.740222;711276125.6420013;748240708.1560564;78.49256359798024;76.52731553918699;80.50439303110213
Bolsa - Fomento Cultural;Todo o Brasil;9738934.603782294;8685943.53051182;10868851.970577516;1.0478272706910388;0.9345343072144672;1.169396854913899
Premiação - Fomento Cultural;Todo o Brasil;190159963.30917177;184697524.2318158;195833447.38904288;20.459609131328722;19.87189673129689;21.070028194663603
