expenses_agrupado;regra_pncv;valor_estimado;p025;p975;valor_estimado_pct;;;
Fomento Cultural;Cidade recebeu mais de 360 mil reais;564472746.9;546720017.6;582073472.7;63.4%;;;
Política Nacional de Cultura Viva;Cidade recebeu mais de 360 mil reais;210261997.4;200581228.8;219327396.1;23.6%;;;
Obras, Reformas e Aquisição de Bens Culturais;Cidade recebeu mais de 360 mil reais;42664705.7;36404287.45;49597021.97;4.8%;;;
Subsídio e manutenção de espaços e organizações culturais;Cidade recebeu mais de 360 mil reais;38026280.95;35441657.33;40658765.84;4.3%;;;
Operacionalização da Política;Cidade recebeu mais de 360 mil reais;26904998.74;23326198.78;30970227.95;3.0%;;;
Outros;Cidade recebeu mais de 360 mil reais;7672873.831;6524162.96;8941062.778;0.9%;;;
Fomento Cultural;Cidade recebeu até 360 mil reais;364337783.2;357816814.7;371293783.4;76.0%;;;
Obras, Reformas e Aquisição de Bens Culturais;Cidade recebeu até 360 mil reais;59373758.17;55086430.81;63329884.79;12.4%;;;
Subsídio e manutenção de espaços e organizações culturais;Cidade recebeu até 360 mil reais;24145876.99;22131471.58;26242512.74;5.0%;;;
Operacionalização da Política;Cidade recebeu até 360 mil reais;15154661.69;14080274.24;16374937.9;3.2%;;;
Política Nacional de Cultura Viva;Cidade recebeu até 360 mil reais;10332805.68;9257266.056;11590204.85;2.2%;;;
Outros;Cidade recebeu até 360 mil reais;6113718.926;4852741.891;7560695.401;1.3%;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
